,NA_ABTC89250_Ct_broo,SAMAR_25688_Ct_eucl,SAMAR_36034_Ct_taen,SAMAR_36575_Ct_eucl,SAMAR_39563_Ct_taen,SAMAR_42658_Ct_taen,SAMAR_47257_Ct_taen,SAMAR_56672_Ct_broo,SAMAR_61390_Ct_eucl,SAMR_35905_Ct_taen,SAMR_44934_Ct_taen,SAMR_46072_Ct_eucl
NA_ABTC89250_Ct_broo,NA,0.862068965517241,2.13846153846154,0.24390243902439,6.37037037037037,4.18604651162791,2.33928571428571,0.380952380952381,0.512820512820513,1.96491228070175,3.19565217391304,0.257142857142857
SAMAR_25688_Ct_eucl,0.862068965517241,NA,2.57407407407407,0.67741935483871,8,5.02941176470588,2.83673469387755,0.441176470588235,0.794117647058824,2.26923076923077,3.6,0.586206896551724
SAMAR_36034_Ct_taen,2.13846153846154,2.57407407407407,NA,2.15942028985507,1.03448275862069,0.91304347826087,0.5,2.10769230769231,1.9,0.423529411764706,0.756410256410256,1.84905660377358
SAMAR_36575_Ct_eucl,0.24390243902439,0.67741935483871,2.15942028985507,NA,4.62857142857143,4.20454545454545,2.39344262295082,0.302325581395349,0.511111111111111,1.95161290322581,2.69811320754717,0.135135135135135
SAMAR_39563_Ct_taen,6.37037037037037,8,1.03448275862069,4.62857142857143,NA,3.36111111111111,1.91836734693877,5.03225806451613,4.75757575757576,1.64150943396226,1.97674418604651,3.68965517241379
SAMAR_42658_Ct_taen,4.18604651162791,5.02941176470588,0.91304347826087,4.20454545454545,3.36111111111111,NA,1.25396825396825,3.42857142857143,4.02439024390244,0.597014925373134,1.67796610169492,3.02777777777778
SAMAR_47257_Ct_taen,2.33928571428571,2.83673469387755,0.5,2.39344262295082,1.91836734693877,1.25396825396825,NA,2.40350877192982,2.2258064516129,0.285714285714286,1.20289855072464,1.91836734693877
SAMAR_56672_Ct_broo,0.380952380952381,0.441176470588235,2.10769230769231,0.302325581395349,5.03225806451613,3.42857142857143,2.40350877192982,NA,0.512195121951219,1.6984126984127,3.17021276595745,0.272727272727273
SAMAR_61390_Ct_eucl,0.512820512820513,0.794117647058824,1.9,0.511111111111111,4.75757575757576,4.02439024390244,2.2258064516129,0.512195121951219,NA,1.765625,2.78846153846154,0.307692307692308
SAMR_35905_Ct_taen,1.96491228070175,2.26923076923077,0.423529411764706,1.95161290322581,1.64150943396226,0.597014925373134,0.285714285714286,1.6984126984127,1.765625,NA,0.958333333333333,1.69230769230769
SAMR_44934_Ct_taen,3.19565217391304,3.6,0.756410256410256,2.69811320754717,1.97674418604651,1.67796610169492,1.20289855072464,3.17021276595745,2.78846153846154,0.958333333333333,NA,1.95454545454545
SAMR_46072_Ct_eucl,0.257142857142857,0.586206896551724,1.84905660377358,0.135135135135135,3.68965517241379,3.02777777777778,1.91836734693877,0.272727272727273,0.307692307692308,1.69230769230769,1.95454545454545,NA
