,CUMV_14812_Ct_aria,SAMAR_35025_Ct_aria,SAMAR_38117_Ct_aria,SAMAR_45960_Ct_aria
CUMV_14812_Ct_aria,NA,111.004504413109,195.547948084351,256.345470020439
SAMAR_35025_Ct_aria,111.004504413109,NA,89.5712007288057,365.79092388959
SAMAR_38117_Ct_aria,195.547948084351,89.5712007288057,NA,449.081284401833
SAMAR_45960_Ct_aria,256.345470020439,365.79092388959,449.081284401833,NA
