,CUMV_14817_Ct_quat,CUMV_14820_Ct_quat,SAMR_31899_Ct_atla,SAMR_32080_Ct_atla,SAMR_32256_Ct_atla,SAMR_37942_Ct_atla,SAMR_55208_Ct_atla,SAMR_57397_Ct_atla,SAMR_60360_Ct_atla,WAMR_113416_Ct_atla,WAMR_126428_Ct_atla,WAMR_135218_Ct_atla,WAMR_135237_Ct_atla,WAMR_136457_Ct_atla
CUMV_14817_Ct_quat,NA,0,1856.89579675328,1657.84589151103,1346.99146248222,2182.06713920539,1370.28573662576,2220.1060785467,1457.06348523323,1349.52324915134,511.522238030762,1932.48389385268,1834.67245033003,100.224747442934
CUMV_14820_Ct_quat,0,NA,1856.89579675328,1657.84589151103,1346.99146248222,2182.06713920539,1370.28573662576,2220.1060785467,1457.06348523323,1349.52324915134,511.522238030762,1932.48389385268,1834.67245033003,100.224747442934
SAMR_31899_Ct_atla,1856.89579675328,1856.89579675328,NA,221.632578832626,518.480472149145,326.004601194523,489.171748979844,365.27934515929,412.584536792159,512.652904019864,1348.188043264,85.3229160308062,40.5585995813465,1758.16296173023
SAMR_32080_Ct_atla,1657.84589151103,1657.84589151103,221.632578832626,NA,311.035367763861,532.35138771304,291.94862561759,566.796259691258,201.124339650874,308.63570759068,1153.09236403681,299.874973947477,194.252413112424,1559.99038458575
SAMR_32256_Ct_atla,1346.99146248222,1346.99146248222,518.480472149145,311.035367763861,NA,839.743413192387,52.0288381573143,875.985730477386,110.181668166715,19.5703857907809,843.06761294691,596.125825644217,493.567624546019,1249.16171891393
SAMR_37942_Ct_atla,2182.06713920539,2182.06713920539,326.004601194523,532.35138771304,839.743413192387,NA,812.637680642487,47.2863616701476,731.440359838039,835.355014350186,1673.2692550812,252.81416099578,347.703897015837,2083.32570665271
SAMR_55208_Ct_atla,1370.28573662576,1370.28573662576,489.171748979844,291.94862561759,52.0288381573143,812.637680642487,NA,850.421072175425,101.680873324338,41.0609303352956,863.016801690442,565.562551801302,465.38371265011,1271.76806061483
SAMR_57397_Ct_atla,2220.1060785467,2220.1060785467,365.27934515929,566.796259691258,875.985730477386,47.2863616701476,850.421072175425,NA,767.019556465153,871.971329803911,1712.10922548767,294.972880109342,386.282280204516,2121.59232653213
SAMR_60360_Ct_atla,1457.06348523323,1457.06348523323,412.584536792159,201.124339650874,110.181668166715,731.440359838039,101.680873324338,767.019556465153,NA,109.922700112397,953.162630404696,490.642435995909,386.731172780266,1359.29577355335
WAMR_113416_Ct_atla,1349.52324915134,1349.52324915134,512.652904019864,308.63570759068,19.5703857907809,835.355014350186,41.0609303352956,871.971329803911,109.922700112397,NA,844.669166005247,590.647949289592,488.792389466121,1251.53905252693
WAMR_126428_Ct_atla,511.522238030762,511.522238030762,1348.188043264,1153.09236403681,843.06761294691,1673.2692550812,863.016801690442,1712.10922548767,953.162630404696,844.669166005247,NA,1422.83062941448,1326.16816429893,411.684345099495
WAMR_135218_Ct_atla,1932.48389385268,1932.48389385268,85.3229160308062,299.874973947477,596.125825644217,252.81416099578,565.562551801302,294.972880109342,490.642435995909,590.647949289592,1422.83062941448,NA,105.683489722851,1833.46366203424
WAMR_135237_Ct_atla,1834.67245033003,1834.67245033003,40.5585995813465,194.252413112424,493.567624546019,347.703897015837,465.38371265011,386.282280204516,386.731172780266,488.792389466121,1326.16816429893,105.683489722851,NA,1735.9660134922
WAMR_136457_Ct_atla,100.224747442934,100.224747442934,1758.16296173023,1559.99038458575,1249.16171891393,2083.32570665271,1271.76806061483,2121.59232653213,1359.29577355335,1251.53905252693,411.684345099495,1833.46366203424,1735.9660134922,NA
