,NA_ABTC61569_Ct_robu,SAMR_21493_Ct_robu,SAMR_28536_Ct_robu,SAMR_32932_Ct_robu,SAMR_33525_Ct_robu,SAMR_33695_Ct_robu,SAMR_33876_Ct_robu,SAMR_36313_Ct_robu,SAMR_39480_Ct_robu,SAMR_40718_Ct_robu,SAMR_46204_Ct_robu,SAMR_48684_Ct_robu,SAMR_48962_Ct_robu,SAMR_49609_Ct_robu,SAMR_50372_Ct_robu,SAMR_52303_Ct_robu
NA_ABTC61569_Ct_robu,NA,1295.67806118131,1498.05289768794,1212.86699464005,627.204204834048,340.208235625224,532.694082798338,1348.37760532262,1239.88031729937,1438.18375670276,1616.67363503604,1600.3898947894,1449.63200435069,1243.28355603996,1354.34939725506,1284.99457638111
SAMR_21493_Ct_robu,1295.67806118131,NA,417.631153993643,250.497711866762,679.626023745959,1511.14408190198,1577.11128584882,294.591836750221,75.5781592573516,315.561884936211,717.731397160316,534.756201608561,558.27721440501,240.429463860701,557.029944037165,545.910428526199
SAMR_28536_Ct_robu,1498.05289768794,417.631153993643,NA,667.875277890209,879.629576276184,1637.96682044773,1650.9738239778,161.886084587548,398.165533508935,102.106292974647,309.740895735455,122.479240247996,198.682779298677,657.770763643286,266.646879430275,310.234116871727
SAMR_32932_Ct_robu,1212.86699464005,250.497711866762,667.875277890209,NA,650.359297477101,1471.81331130934,1569.52777885922,536.426886714926,281.710883783054,565.769238296883,964.617237870551,785.223126931169,798.281365428992,30.7534716568105,783.158652967871,759.676566321076
SAMR_33525_Ct_robu,627.204204834048,679.626023745959,879.629576276184,650.359297477101,NA,834.016233925837,919.503339837394,725.338267593377,618.466326344049,813.805397396197,1038.11001532939,988.230730781861,858.65745012685,677.99174249209,773.348899879759,707.602584428353
SAMR_33695_Ct_robu,340.208235625224,1511.14408190198,1637.96682044773,1471.81331130934,834.016233925837,NA,209.875910558752,1504.19632916167,1446.45827612876,1595.80301314441,1696.70544447029,1725.18464579751,1550.44875491269,1501.06882800101,1449.11505127047,1380.26100870012
SAMR_33876_Ct_robu,532.694082798338,1577.11128584882,1650.9738239778,1569.52777885922,919.503339837394,209.875910558752,NA,1530.5546645748,1507.78958392702,1621.22041990386,1670.53973374254,1726.69019740509,1540.55630603309,1597.40474796412,1438.07846019882,1371.56145503434
SAMR_36313_Ct_robu,1348.37760532262,294.591836750221,161.886084587548,536.426886714926,725.338267593377,1504.19632916167,1530.5546645748,NA,256.004860854829,91.6103691806721,429.533539403709,282.471110484829,263.712248086255,531.223458362526,271.804321757695,278.380807743247
SAMR_39480_Ct_robu,1239.88031729937,75.5781592573516,398.165533508935,281.710883783054,618.466326344049,1446.45827612876,1507.78958392702,256.004860854829,NA,297.722326560865,685.449150835894,519.483652839698,516.642545743587,279.323873741698,504.114151075832,486.41682974194
SAMR_40718_Ct_robu,1438.18375670276,315.561884936211,102.106292974647,565.769238296883,813.805397396197,1595.80301314441,1621.22041990386,91.6103691806721,297.722326560865,NA,407.085930405922,221.853967463548,270.259650558916,555.792001648518,310.08729690807,334.526499512024
SAMR_46204_Ct_robu,1616.67363503604,717.731397160316,309.740895735455,964.617237870551,1038.11001532939,1696.70544447029,1670.53973374254,429.533539403709,685.449150835894,407.085930405922,NA,226.489496427712,185.975964806799,957.602150378811,265.24771974436,333.159421641943
SAMR_48684_Ct_robu,1600.3898947894,534.756201608561,122.479240247996,785.223126931169,988.230730781861,1725.18464579751,1726.69019740509,282.471110484829,519.483652839698,221.853967463548,226.489496427712,NA,200.985090637057,773.617146133554,297.993020419006,358.619787983959
SAMR_48962_Ct_robu,1449.63200435069,558.27721440501,198.682779298677,798.281365428992,858.65745012685,1550.44875491269,1540.55630603309,263.712248086255,516.642545743587,270.259650558916,185.975964806799,200.985090637057,NA,794.251572337465,102.481160996116,170.237810961527
SAMR_49609_Ct_robu,1243.28355603996,240.429463860701,657.770763643286,30.7534716568105,677.99174249209,1501.06882800101,1597.40474796412,531.223458362526,279.323873741698,555.792001648518,957.602150378811,773.617146133554,794.251572337465,NA,783.088241388832,762.240514408896
SAMR_50372_Ct_robu,1354.34939725506,557.029944037165,266.646879430275,783.158652967871,773.348899879759,1449.11505127047,1438.07846019882,271.804321757695,504.114151075832,310.08729690807,265.24771974436,297.993020419006,102.481160996116,783.088241388832,NA,69.6425720104669
SAMR_52303_Ct_robu,1284.99457638111,545.910428526199,310.234116871727,759.676566321076,707.602584428353,1380.26100870012,1371.56145503434,278.380807743247,486.41682974194,334.526499512024,333.159421641943,358.619787983959,170.237810961527,762.240514408896,69.6425720104669,NA
