,CUMV_14576_Ct_pant,WAMR_129863_Ct_pant,WAMR_153984_Ct_pant
CUMV_14576_Ct_pant,NA,918.532525281495,1693.46065794278
WAMR_129863_Ct_pant,918.532525281495,NA,792.409616297026
WAMR_153984_Ct_pant,1693.46065794278,792.409616297026,NA
