,NA_ABTC89250_Ct_broo,SAMAR_25688_Ct_eucl,SAMAR_36034_Ct_taen,SAMAR_36575_Ct_eucl,SAMAR_39563_Ct_taen,SAMAR_42658_Ct_taen,SAMAR_47257_Ct_taen,SAMAR_56672_Ct_broo,SAMAR_61390_Ct_eucl,SAMR_35905_Ct_taen,SAMR_44934_Ct_taen,SAMR_46072_Ct_eucl
NA_ABTC89250_Ct_broo,NA,592.785218335456,528.489857759798,219.791927157582,392.874453479537,933.880594709361,553.652703419882,137.084494190409,401.208264207195,795.427666704564,425.999495084543,54.5723751616677
SAMAR_25688_Ct_eucl,592.785218335456,NA,756.641465669467,383.190447234004,969.044219911979,1067.90274953012,604.520589652875,455.701155461485,191.594090448019,745.263130434231,733.990033586163,540.36554644045
SAMAR_36034_Ct_taen,528.489857759798,756.641465669467,NA,602.281790528551,787.610375273281,405.606268667007,199.777753389308,533.944455826086,635.044867879817,361.317086249083,113.801370027224,511.789327162249
SAMAR_36575_Ct_eucl,219.791927157582,383.190447234004,602.281790528551,NA,585.889041412309,994.997445223754,549.924009292999,92.6999025634178,194.707440944429,776.123909639376,526.550729443137,174.30531824068
SAMAR_39563_Ct_taen,392.874453479537,969.044219911979,787.610375273281,585.889041412309,NA,1159.11300391868,885.133815468662,522.751603619282,779.734589472248,1119.99169673713,674.065888674124,447.174987030913
SAMAR_42658_Ct_taen,933.880594709361,1067.90274953012,405.606268667007,994.997445223754,1159.11300391868,NA,470.139426957892,934.1909624533,990.62057340073,366.354425372071,510.727127398598,917.030670450921
SAMAR_47257_Ct_taen,553.652703419882,604.520589652875,199.777753389308,549.924009292999,885.133815468662,470.139426957892,NA,508.046543931902,521.33706608376,241.857690016512,260.869969678363,518.879376479126
SAMAR_56672_Ct_broo,137.084494190409,455.701155461485,533.944455826086,92.6999025634178,522.751603619282,934.1909624533,508.046543931902,NA,264.124744070824,743.672026434583,449.416974516256,85.7558981868325
SAMAR_61390_Ct_eucl,401.208264207195,191.594090448019,635.044867879817,194.707440944429,779.734589472248,990.62057340073,521.33706608376,264.124744070824,NA,711.929241625326,590.194798445226,348.983921528935
SAMR_35905_Ct_taen,795.427666704564,745.263130434231,361.317086249083,776.123909639376,1119.99169673713,366.354425372071,241.857690016512,743.672026434583,711.929241625326,NA,462.328282338644,759.739836136592
SAMR_44934_Ct_taen,425.999495084543,733.990033586163,113.801370027224,526.550729443137,674.065888674124,510.727127398598,260.869969678363,449.416974516256,590.194798445226,462.328282338644,NA,415.538673086466
SAMR_46072_Ct_eucl,54.5723751616677,540.36554644045,511.789327162249,174.30531824068,447.174987030913,917.030670450921,518.879376479126,85.7558981868325,348.983921528935,759.739836136592,415.538673086466,NA
