,NA_CCM0750_Ct_haly,NA_CCM0751_Ct_haly,NA_CCM0804_Ct_haly,NA_CCM0816_Ct_haly,NA_CCM0817_Ct_haly,NA_CCM0820_Ct_haly,NA_CCM1424_Ct_ehma,NA_CCM1425_Ct_ehma
NA_CCM0750_Ct_haly,NA,0.405405405405405,0.408805031446541,0.420560747663551,0.421926910299003,0.390041493775934,0.858870967741935,0.982758620689655
NA_CCM0751_Ct_haly,0.405405405405405,NA,0.331412103746398,0.310249307479224,0.340974212034384,0.338235294117647,0.780405405405405,0.831501831501831
NA_CCM0804_Ct_haly,0.408805031446541,0.331412103746398,NA,-0.492462311557789,0.336182336182336,0.258503401360544,0.725239616613419,0.833333333333333
NA_CCM0816_Ct_haly,0.420560747663551,0.310249307479224,-0.492462311557789,NA,0.355555555555556,0.259136212624585,0.768025078369906,0.836065573770492
NA_CCM0817_Ct_haly,0.421926910299003,0.340974212034384,0.336182336182336,0.355555555555556,NA,0.402214022140221,0.737373737373737,0.75886524822695
NA_CCM0820_Ct_haly,0.390041493775934,0.338235294117647,0.258503401360544,0.259136212624585,0.402214022140221,NA,0.827586206896552,0.822222222222222
NA_CCM1424_Ct_ehma,0.858870967741935,0.780405405405405,0.725239616613419,0.768025078369906,0.737373737373737,0.827586206896552,NA,0.279352226720648
NA_CCM1425_Ct_ehma,0.982758620689655,0.831501831501831,0.833333333333333,0.836065573770492,0.75886524822695,0.822222222222222,0.279352226720648,NA
