,CUMV_14591_Ct_hele,CUMV_14596_Ct_hele,CUMV_14601_Ct_hele,CUMV_14602_Ct_hele,CUMV_14604_Ct_hele,CUMV_14606_Ct_hele,CUMV_14611_Ct_hele,CUMV_14612_Ct_hele,CUMV_14656_Ct_hele,NA_ABTC31797_Ct_saxa,NA_ABTC60781_Ct_hele,NA_CCM0848_Ct_inor,NA_CCM1249_Ct_inor,NA_CCM1444_Ct_inor,NA_CCM1445_Ct_inor,NA_CCM1530_Ct_robu,NA_CCM1580_Ct_inor,NA_CCM1710_Ct_inor,NA_CCM4920_Ct_essi,SAMR_29707_Ct_brac,SAMR_36252_Ct_brac,SAMR_36349_Ct_brac,SAMR_44367_Ct_hele,SAMR_45480_Ct_saxa,SAMR_46119_Ct_hele,SAMR_46880_Ct_saxa,SAMR_48710_Ct_hele,SAMR_50208_Ct_saxa,UMMZ_242614_Ct_hele,UMMZ_242616_Ct_hele,UMMZ_242623_Ct_hele,UMMZ_244288_ct_inor,WAMR_094929_Ct_hele,WAMR_102423_Ct_saxa,WAMR_102771_Ct_hele,WAMR_126017_Ct_inor,WAMR_129923_Ct_hele,WAMR_131009_Ct_hele,WAMR_131018_Ct_fall,WAMR_131371_Ct_hele,WAMR_135396_Ct_hele,WAMR_140720_Ct_hele,WAMR_145567_Ct_hele,WAMR_152991_Ct_seve,WAMR_166390_Ct_hele,WAMR_166391_Ct_hele
CUMV_14591_Ct_hele,NA,0,0,0,0,311.744197747037,311.744197747037,252.362088252116,311.744197747037,1203.63016688521,1084.36493078868,1306.81903093587,1087.72647729856,1152.37114528485,1150.088495391,1150.81848744376,1150.9451609554,1600.15770742824,1737.60441109211,2020.47408319174,2045.52762302814,1766.69094200694,850.85276817116,956.744399364102,783.998655803943,1410.14828600489,828.116942033985,1077.87496378607,925.243105440421,925.243105440421,954.411063927745,793.080269303543,633.773916806529,659.729944734651,227.364581352738,1388.42663904544,441.377348562266,716.226368420277,730.589763034056,760.2338235629,595.059081769847,440.914997360116,693.231021046505,426.110717305551,683.201456026849,743.671401044393
CUMV_14596_Ct_hele,0,NA,0,0,0,311.744197747037,311.744197747037,252.362088252116,311.744197747037,1203.63016688521,1084.36493078868,1306.81903093587,1087.72647729856,1152.37114528485,1150.088495391,1150.81848744376,1150.9451609554,1600.15770742824,1737.60441109211,2020.47408319174,2045.52762302814,1766.69094200694,850.85276817116,956.744399364102,783.998655803943,1410.14828600489,828.116942033985,1077.87496378607,925.243105440421,925.243105440421,954.411063927745,793.080269303543,633.773916806529,659.729944734651,227.364581352738,1388.42663904544,441.377348562266,716.226368420277,730.589763034056,760.2338235629,595.059081769847,440.914997360116,693.231021046505,426.110717305551,683.201456026849,743.671401044393
CUMV_14601_Ct_hele,0,0,NA,0,0,311.744197747037,311.744197747037,252.362088252116,311.744197747037,1203.63016688521,1084.36493078868,1306.81903093587,1087.72647729856,1152.37114528485,1150.088495391,1150.81848744376,1150.9451609554,1600.15770742824,1737.60441109211,2020.47408319174,2045.52762302814,1766.69094200694,850.85276817116,956.744399364102,783.998655803943,1410.14828600489,828.116942033985,1077.87496378607,925.243105440421,925.243105440421,954.411063927745,793.080269303543,633.773916806529,659.729944734651,227.364581352738,1388.42663904544,441.377348562266,716.226368420277,730.589763034056,760.2338235629,595.059081769847,440.914997360116,693.231021046505,426.110717305551,683.201456026849,743.671401044393
CUMV_14602_Ct_hele,0,0,0,NA,0,311.744197747037,311.744197747037,252.362088252116,311.744197747037,1203.63016688521,1084.36493078868,1306.81903093587,1087.72647729856,1152.37114528485,1150.088495391,1150.81848744376,1150.9451609554,1600.15770742824,1737.60441109211,2020.47408319174,2045.52762302814,1766.69094200694,850.85276817116,956.744399364102,783.998655803943,1410.14828600489,828.116942033985,1077.87496378607,925.243105440421,925.243105440421,954.411063927745,793.080269303543,633.773916806529,659.729944734651,227.364581352738,1388.42663904544,441.377348562266,716.226368420277,730.589763034056,760.2338235629,595.059081769847,440.914997360116,693.231021046505,426.110717305551,683.201456026849,743.671401044393
CUMV_14604_Ct_hele,0,0,0,0,NA,311.744197747037,311.744197747037,252.362088252116,311.744197747037,1203.63016688521,1084.36493078868,1306.81903093587,1087.72647729856,1152.37114528485,1150.088495391,1150.81848744376,1150.9451609554,1600.15770742824,1737.60441109211,2020.47408319174,2045.52762302814,1766.69094200694,850.85276817116,956.744399364102,783.998655803943,1410.14828600489,828.116942033985,1077.87496378607,925.243105440421,925.243105440421,954.411063927745,793.080269303543,633.773916806529,659.729944734651,227.364581352738,1388.42663904544,441.377348562266,716.226368420277,730.589763034056,760.2338235629,595.059081769847,440.914997360116,693.231021046505,426.110717305551,683.201456026849,743.671401044393
CUMV_14606_Ct_hele,311.744197747037,311.744197747037,311.744197747037,311.744197747037,311.744197747037,NA,0,431.637004311823,0,1049.88529511195,1048.24381389282,1453.74549602111,1239.00413931101,1253.51235957464,1252.34260582785,1280.34281642133,1280.16038920492,1634.2213373765,1774.19805046909,1723.28537521418,1740.15323525545,1518.03435465621,646.628333781717,723.820321904603,595.399347650089,1180.5465843112,601.398759397313,869.084975899196,1114.81209978535,1114.81209978535,1013.33186822683,1040.58889420616,761.574578090534,966.188820552399,536.08234290525,1473.50908978308,752.539383166979,1026.28396252213,967.231775116523,1064.37785952693,906.76706258355,746.126792039211,991.519068216182,634.671495152014,510.19846936947,621.926267796112
CUMV_14611_Ct_hele,311.744197747037,311.744197747037,311.744197747037,311.744197747037,311.744197747037,0,NA,431.637004311823,0,1049.88529511195,1048.24381389282,1453.74549602111,1239.00413931101,1253.51235957464,1252.34260582785,1280.34281642133,1280.16038920492,1634.2213373765,1774.19805046909,1723.28537521418,1740.15323525545,1518.03435465621,646.628333781717,723.820321904603,595.399347650089,1180.5465843112,601.398759397313,869.084975899196,1114.81209978535,1114.81209978535,1013.33186822683,1040.58889420616,761.574578090534,966.188820552399,536.08234290525,1473.50908978308,752.539383166979,1026.28396252213,967.231775116523,1064.37785952693,906.76706258355,746.126792039211,991.519068216182,634.671495152014,510.19846936947,621.926267796112
CUMV_14612_Ct_hele,252.362088252116,252.362088252116,252.362088252116,252.362088252116,252.362088252116,431.637004311823,431.637004311823,NA,431.637004311823,1433.27599701507,1335.77070918352,1527.30986876746,1309.55884509669,1390.69570116542,1388.13549377432,1380.27454506849,1380.51038191308,1849.06920026904,1985.81945037785,2141.06035291905,2144.69132526378,1948.28938991278,1056.45861208771,1147.36714194462,995.834294710577,1605.06895269363,1021.35654550349,1283.36389513241,1131.31720203401,1131.31720203401,1202.95923965099,610.208779003561,873.799255181391,611.007189879812,348.292665287269,1628.89012989214,489.844963928317,750.067895276763,535.7244687101,695.123121461299,611.98696353192,530.356070877751,781.395229842452,203.32552279494,899.418540999109,977.831651966975
CUMV_14656_Ct_hele,311.744197747037,311.744197747037,311.744197747037,311.744197747037,311.744197747037,0,0,431.637004311823,NA,1049.88529511195,1048.24381389282,1453.74549602111,1239.00413931101,1253.51235957464,1252.34260582785,1280.34281642133,1280.16038920492,1634.2213373765,1774.19805046909,1723.28537521418,1740.15323525545,1518.03435465621,646.628333781717,723.820321904603,595.399347650089,1180.5465843112,601.398759397313,869.084975899196,1114.81209978535,1114.81209978535,1013.33186822683,1040.58889420616,761.574578090534,966.188820552399,536.08234290525,1473.50908978308,752.539383166979,1026.28396252213,967.231775116523,1064.37785952693,906.76706258355,746.126792039211,991.519068216182,634.671495152014,510.19846936947,621.926267796112
NA_ABTC31797_Ct_saxa,1203.63016688521,1203.63016688521,1203.63016688521,1203.63016688521,1203.63016688521,1049.88529511195,1049.88529511195,1433.27599701507,1049.88529511195,NA,436.94632394048,1223.95591063546,1116.34204424244,954.660224474045,957.831233450154,1063.52437873253,1062.38001526131,960.849926562162,1075.29902326696,1288.20387010408,1419.55507504695,751.622254018211,422.290344757196,427.258739563527,457.213652694403,408.977448629277,492.88057555602,273.832522729868,1184.46727296622,1184.46727296622,739.042967936855,1989.32916471568,910.037142141011,1754.92981527305,1312.02646492326,1021.22521133856,1482.75321776849,1671.46462827581,1931.84552733437,1857.44720396812,1619.72184997665,1420.81625479793,1542.91777166928,1626.42237590996,540.502277900448,460.704126633066
