,WAMR_102159_Ct_duri,WAMR_102494_Ct_duri,WAMR_110222_Ct_duri,WAMR_111584_Ct_duri,WAMR_141296_Ct_duri
WAMR_102159_Ct_duri,NA,269.775832868699,959.778620307829,149.12075643585,1683.59080539186
WAMR_102494_Ct_duri,269.775832868699,NA,1097.05514902397,121.045446010992,1814.29848701916
WAMR_110222_Ct_duri,959.778620307829,1097.05514902397,NA,1034.24851945749,724.283784161982
WAMR_111584_Ct_duri,149.12075643585,121.045446010992,1034.24851945749,NA,1757.06374386361
WAMR_141296_Ct_duri,1683.59080539186,1814.29848701916,724.283784161982,1757.06374386361,NA
