,SAMAR_36034_Ct_taen,SAMAR_39563_Ct_taen,SAMAR_42658_Ct_taen,SAMAR_47257_Ct_taen,SAMR_35905_Ct_taen,SAMR_44934_Ct_taen
SAMAR_36034_Ct_taen,NA,2197.459897245,109.863551735778,127.385242473373,80.0187478032492,256.959140720855
SAMAR_39563_Ct_taen,2197.459897245,NA,2094.18719316111,2070.96088809036,2264.41714354931,1940.71378621372
SAMAR_42658_Ct_taen,109.863551735778,2094.18719316111,NA,52.7541467564399,171.781838388114,159.793616893792
SAMAR_47257_Ct_taen,127.385242473373,2070.96088809036,52.7541467564399,NA,200.833264177028,130.81666560496
SAMR_35905_Ct_taen,80.0187478032492,2264.41714354931,171.781838388114,200.833264177028,NA,327.146756059112
SAMR_44934_Ct_taen,256.959140720855,1940.71378621372,159.793616893792,130.81666560496,327.146756059112,NA
