,SAMR_45385_Ct_pian,SAMR_48807_Ct_pian,UMMZ_242644_Ct_pian,WAMR_099165_Ct_duri,WAMR_119955_Ct_pian,WAMR_139394_Ct_duri,WAMR_157067_Ct_duri,WAMR_160095_Ct_duri,WAMR_161462_Ct_duri,WAMR_162334_Ct_duri,WAMR_166456_Ct_pian,WAMR_170467_Ct_duri,WAMR_170880_Ct_duri
SAMR_45385_Ct_pian,NA,0.6,0.823008849557522,1.97520661157025,0.743119266055046,1.848,2.5,1.37903225806452,2.11290322580645,1.59230769230769,0.376146788990826,2.27884615384615,1.89655172413793
SAMR_48807_Ct_pian,0.6,NA,0.752380952380952,1.74590163934426,0.563636363636364,1.75806451612903,2.15,1.4297520661157,2.05084745762712,1.56153846153846,0.323809523809524,2.25,1.77586206896552
UMMZ_242644_Ct_pian,0.823008849557522,0.752380952380952,NA,1.7218045112782,0.371900826446281,1.62043795620438,2.04761904761905,1.2755905511811,1.84782608695652,1.67669172932331,0.647887323943662,2.1858407079646,1.7479674796748
WAMR_099165_Ct_duri,1.97520661157025,1.74590163934426,1.7218045112782,NA,1.49264705882353,0.439024390243902,0.712230215827338,0.546666666666667,0.438271604938272,0.363636363636364,1.6044776119403,0.673758865248227,0.578231292517007
WAMR_119955_Ct_pian,0.743119266055046,0.563636363636364,0.371900826446281,1.49264705882353,NA,1.5,2.04901960784314,1.27142857142857,1.64963503649635,1.58518518518519,0.658119658119658,1.8135593220339,1.49612403100775
WAMR_139394_Ct_duri,1.848,1.75806451612903,1.62043795620438,0.439024390243902,1.5,NA,0.740740740740741,0.580645161290323,0.610778443113772,0.446428571428571,1.54014598540146,0.809859154929577,0.397350993377483
WAMR_157067_Ct_duri,2.5,2.15,2.04761904761905,0.712230215827338,2.04901960784314,0.740740740740741,NA,0.723076923076923,0.846153846153846,0.584507042253521,1.92929292929293,0.425,0.684615384615385
WAMR_160095_Ct_duri,1.37903225806452,1.4297520661157,1.2755905511811,0.546666666666667,1.27142857142857,0.580645161290323,0.723076923076923,NA,0.544303797468354,0.371069182389937,1.13492063492064,0.786764705882353,0.553333333333333
WAMR_161462_Ct_duri,2.11290322580645,2.05084745762712,1.84782608695652,0.438271604938272,1.64963503649635,0.610778443113772,0.846153846153846,0.544303797468354,NA,0.440993788819876,1.80152671755725,0.833333333333333,0.52317880794702
WAMR_162334_Ct_duri,1.59230769230769,1.56153846153846,1.67669172932331,0.363636363636364,1.58518518518519,0.446428571428571,0.584507042253521,0.371069182389937,0.440993788819876,NA,1.32374100719424,0.616438356164383,0.33125
WAMR_166456_Ct_pian,0.376146788990826,0.323809523809524,0.647887323943662,1.6044776119403,0.658119658119658,1.54014598540146,1.92929292929293,1.13492063492064,1.80152671755725,1.32374100719424,NA,1.83333333333333,1.43076923076923
WAMR_170467_Ct_duri,2.27884615384615,2.25,2.1858407079646,0.673758865248227,1.8135593220339,0.809859154929577,0.425,0.786764705882353,0.833333333333333,0.616438356164383,1.83333333333333,NA,0.656934306569343
WAMR_170880_Ct_duri,1.89655172413793,1.77586206896552,1.7479674796748,0.578231292517007,1.49612403100775,0.397350993377483,0.684615384615385,0.553333333333333,0.52317880794702,0.33125,1.43076923076923,0.656934306569343,NA
