,SAMR_49197_Ct_pant,SAMR_54432_Ct_pant,SAMR_55674_Ct_pant,SAMR_65403_Ct_pant
SAMR_49197_Ct_pant,NA,1201.85013775811,1124.11824334933,756.506001323017
SAMR_54432_Ct_pant,1201.85013775811,NA,546.744231924723,597.000453747871
SAMR_55674_Ct_pant,1124.11824334933,546.744231924723,NA,370.571011604552
SAMR_65403_Ct_pant,756.506001323017,597.000453747871,370.571011604552,NA
