,SAMR_45385_Ct_pian,SAMR_48807_Ct_pian,UMMZ_242644_Ct_pian,WAMR_119955_Ct_pian,WAMR_166456_Ct_pian
SAMR_45385_Ct_pian,NA,111.103084620507,936.99984236718,1153.91596074003,370.843514252364
SAMR_48807_Ct_pian,111.103084620507,NA,935.026506431224,1082.81279565464,337.410761061545
UMMZ_242644_Ct_pian,936.99984236718,935.026506431224,NA,700.712820332598,607.326980360771
WAMR_119955_Ct_pian,1153.91596074003,1082.81279565464,700.712820332598,NA,803.911591510225
WAMR_166456_Ct_pian,370.843514252364,337.410761061545,607.326980360771,803.911591510225,NA
