,NA_CCM0535_Ct_inor,NA_CCM2292_Ct_inor,NA_CCM2518_Ct_vert,NA_CCM2565_Ct_vert,NA_CCM3869_Ct_inor,NTMR_25983_Ct_spal,SAMAR_34180_Ct_bore,SAMR_38776_Ct_saxa,SAMR_53975_Ct_saxa,UMMZ_242624_Ct_inor,UMMZ_242629_Ct_inor,UMMZ_242630_Ct_inor,WAMR_108698_Ct_saxa,WAMR_108745_Ct_saxa,WAMR_108816_Ct_saxa,WAMR_132522_Ct_saxa,WAMR_132682_Ct_saxa,WAMR_132686_Ct_saxa,WAMR_132723_Ct_saxa,WAMR_139005_Ct_saxa,WAMR_153812_Ct_saxa
NA_CCM0535_Ct_inor,NA,3.26666666666667,3.1,3.13333333333333,3.14285714285714,0.315789473684211,2.65384615384615,2.75862068965517,2.47368421052632,0.476190476190476,0.391304347826087,0.333333333333333,0.676470588235294,0.574468085106383,0.870967741935484,1.09375,0.684210526315789,1.23529411764706,1.73333333333333,0.682926829268293,1.28125
NA_CCM2292_Ct_inor,3.26666666666667,NA,0.65,0.523809523809524,0.25,3.89285714285714,3.1875,3.85714285714286,5.27272727272727,3.64516129032258,2.94285714285714,3.10526315789474,4.03571428571429,3.35897435897436,4.38709677419355,4.29032258064516,3.02702702702703,3.8,4.78571428571429,4.06060606060606,4.18181818181818
NA_CCM2518_Ct_vert,3.1,0.65,NA,0.619047619047619,0.391304347826087,3.46666666666667,3.66666666666667,3.95,3.46666666666667,3.3125,2.26829268292683,3.05263157894737,3.42857142857143,2.81578947368421,4.07692307692308,4.46153846153846,3.09375,3.42424242424242,4.40740740740741,3.15151515151515,4.21428571428571
NA_CCM2565_Ct_vert,3.13333333333333,0.523809523809524,0.619047619047619,NA,0.272727272727273,3.35483870967742,4.0625,4.31578947368421,4.15384615384615,3.03125,2.3,2.64285714285714,3.21428571428571,2.6,3.74074074074074,4.75,3.03448275862069,3.34375,4.36,2.94117647058824,4
NA_CCM3869_Ct_inor,3.14285714285714,0.25,0.391304347826087,0.272727272727273,NA,2.85294117647059,3.05882352941176,2.69230769230769,3.53846153846154,3.61290322580645,2.52631578947368,2.58536585365854,4.24,2.58536585365854,3.8125,4.0625,3.70967741935484,3.57142857142857,4.58620689655172,3.97058823529412,3.94117647058824
NTMR_25983_Ct_spal,0.315789473684211,3.89285714285714,3.46666666666667,3.35483870967742,2.85294117647059,NA,2.82608695652174,2.76666666666667,3.0952380952381,0.697674418604651,0.48936170212766,0.7,1.02702702702703,0.647058823529412,1.10526315789474,1.07317073170732,0.878048780487805,1,1.17948717948718,0.914893617021277,1.30952380952381
SAMAR_34180_Ct_bore,2.65384615384615,3.1875,3.66666666666667,4.0625,3.05882352941176,2.82608695652174,NA,1.25,0.7,3.12,2.37037037037037,2.7037037037037,3.4,2.06451612903226,3.09090909090909,3.72727272727273,2.9047619047619,3.17391304347826,4.27777777777778,3.27272727272727,3.85714285714286
SAMR_38776_Ct_saxa,2.75862068965517,3.85714285714286,3.95,4.31578947368421,2.69230769230769,2.76666666666667,1.25,NA,0.625,2.90909090909091,1.8974358974359,2.06976744186046,2.86111111111111,2.06382978723404,3.8125,3.81818181818182,2.5,3.32432432432433,4,3.72727272727273,3.66666666666667
SAMR_53975_Ct_saxa,2.47368421052632,5.27272727272727,3.46666666666667,4.15384615384615,3.53846153846154,3.0952380952381,0.7,0.625,NA,3.94736842105263,2.29166666666667,2.44827586206897,3.43478260869565,2.33333333333333,4.05,5.6,3.30434782608696,3.5,4.26315789473684,3.75,4.94736842105263
UMMZ_242624_Ct_inor,0.476190476190476,3.64516129032258,3.3125,3.03125,3.61290322580645,0.697674418604651,3.12,2.90909090909091,3.94736842105263,NA,0.5,0.52,0.72972972972973,1.04,0.857142857142857,1.17647058823529,0.763157894736842,0.6,1.1025641025641,0.456521739130435,0.9
UMMZ_242629_Ct_inor,0.391304347826087,2.94285714285714,2.26829268292683,2.3,2.52631578947368,0.48936170212766,2.37037037037037,1.8974358974359,2.29166666666667,0.5,NA,0.15,0.395833333333333,0.410714285714286,0.581395348837209,0.8,0.52,0.529411764705882,0.826086956521739,0.555555555555556,0.895833333333333
UMMZ_242630_Ct_inor,0.333333333333333,3.10526315789474,3.05263157894737,2.64285714285714,2.58536585365854,0.7,2.7037037037037,2.06976744186046,2.44827586206897,0.52,0.15,NA,0.411764705882353,0.354838709677419,0.622222222222222,0.953488372093023,0.538461538461538,0.729166666666667,0.897959183673469,0.517857142857143,0.74
WAMR_108698_Ct_saxa,0.676470588235294,4.03571428571429,3.42857142857143,3.21428571428571,4.24,1.02702702702703,3.4,2.86111111111111,3.43478260869565,0.72972972972973,0.395833333333333,0.411764705882353,NA,0.483333333333333,0.522727272727273,0.65,0.627450980392157,0.446808510638298,0.720930232558139,0.74,0.608695652173913
WAMR_108745_Ct_saxa,0.574468085106383,3.35897435897436,2.81578947368421,2.6,2.58536585365854,0.647058823529412,2.06451612903226,2.06382978723404,2.33333333333333,1.04,0.410714285714286,0.354838709677419,0.483333333333333,NA,0.719298245614035,0.709090909090909,0.716666666666667,0.540983606557377,0.888888888888889,0.833333333333333,0.770491803278688
WAMR_108816_Ct_saxa,0.870967741935484,4.38709677419355,4.07692307692308,3.74074074074074,3.8125,1.10526315789474,3.09090909090909,3.8125,4.05,0.857142857142857,0.581395348837209,0.622222222222222,0.522727272727273,0.719298245614035,NA,0,0.224489795918367,0.239130434782609,0.476190476190476,0.69047619047619,-0.0666666666666667
WAMR_132522_Ct_saxa,1.09375,4.29032258064516,4.46153846153846,4.75,4.0625,1.07317073170732,3.72727272727273,3.81818181818182,5.6,1.17647058823529,0.8,0.953488372093023,0.65,0.709090909090909,0,NA,0.195121951219512,0.191489361702128,0.268292682926829,0.780487804878049,0.0869565217391304
