,UMMZ_242606_Ct_aust,UMMZ_242607_Ct_aust,WAMR_115114_Ct_aust,WAMR_115119_Ct_aust
UMMZ_242606_Ct_aust,NA,0.0700209901463545,641.103468408405,621.771938217823
UMMZ_242607_Ct_aust,0.0700209901463545,NA,641.148168859473,621.816271491147
WAMR_115114_Ct_aust,641.103468408405,641.148168859473,NA,19.80034617909
WAMR_115119_Ct_aust,621.771938217823,621.816271491147,19.80034617909,NA
