,SAMAR_33571_Ct_taen,SAMAR_33727_Ct_taen,SAMAR_34743_Ct_taen,SAMAR_55603_Ct_taen,SAMAR_55863_Ct_taen,SAMAR_55882_Ct_taen
SAMAR_33571_Ct_taen,NA,713.114296589263,1146.27221897767,1826.54427813836,3302.31751956107,528.913981664316
SAMAR_33727_Ct_taen,713.114296589263,NA,533.576611181562,1119.95178467647,2647.79814185296,191.765481773963
SAMAR_34743_Ct_taen,1146.27221897767,533.576611181562,NA,767.366926574243,2159.68585678566,682.019061317204
SAMAR_55603_Ct_taen,1826.54427813836,1119.95178467647,767.366926574243,NA,1605.28657877651,1304.30134554864
SAMAR_55863_Ct_taen,3302.31751956107,2647.79814185296,2159.68585678566,1605.28657877651,NA,2817.50652173158
SAMAR_55882_Ct_taen,528.913981664316,191.765481773963,682.019061317204,1304.30134554864,2817.50652173158,NA
