,CUMV_14812_Ct_aria,SAMAR_35025_Ct_aria,SAMAR_38117_Ct_aria,SAMAR_45960_Ct_aria,WAMR_140983_Ct_mary,WAMR_158428_Ct_mary
CUMV_14812_Ct_aria,NA,1928.65222090108,1449.88917733659,773.69850643123,840.356868477473,815.645355494495
SAMAR_35025_Ct_aria,1928.65222090108,NA,487.912912538435,1155.59233401072,2699.45804006973,2707.35489386267
SAMAR_38117_Ct_aria,1449.88917733659,487.912912538435,NA,676.714764582392,2211.64570613713,2220.49858834427
SAMAR_45960_Ct_aria,773.69850643123,1155.59233401072,676.714764582392,NA,1560.08577275144,1559.23052532343
WAMR_140983_Ct_mary,840.356868477473,2699.45804006973,2211.64570613713,1560.08577275144,NA,109.005757216171
WAMR_158428_Ct_mary,815.645355494495,2707.35489386267,2220.49858834427,1559.23052532343,109.005757216171,NA
