,NA_ABTC61569_Ct_robu,SAMR_21493_Ct_robu,SAMR_28536_Ct_robu,SAMR_32932_Ct_robu,SAMR_33525_Ct_robu,SAMR_33695_Ct_robu,SAMR_33876_Ct_robu,SAMR_36313_Ct_robu,SAMR_39480_Ct_robu,SAMR_40718_Ct_robu,SAMR_46204_Ct_robu,SAMR_48684_Ct_robu,SAMR_48962_Ct_robu,SAMR_49609_Ct_robu,SAMR_50372_Ct_robu,SAMR_52303_Ct_robu
NA_ABTC61569_Ct_robu,NA,2.07142857142857,2.53846153846154,1.05,0.8,0.636363636363636,0.928571428571428,1.39130434782609,1.52941176470588,2.47058823529412,2.5,2.84615384615385,2.82352941176471,1.29411764705882,1.71428571428571,1.45
SAMR_21493_Ct_robu,2.07142857142857,NA,3.21428571428571,0.611111111111111,0.391304347826087,1.75,1.45833333333333,1.72727272727273,2.1875,2.70588235294118,4.16666666666667,3.63636363636364,4,0.833333333333333,2.66666666666667,1.30434782608696
SAMR_28536_Ct_robu,2.53846153846154,3.21428571428571,NA,2,1.57142857142857,2.16666666666667,1.28,1.35,2.375,0.4375,1.90909090909091,0.0769230769230769,1.92857142857143,2.66666666666667,1.38888888888889,0.722222222222222
SAMR_32932_Ct_robu,1.05,0.611111111111111,2,NA,0.25,1.29166666666667,0.827586206896552,1.28,1.25,2.57142857142857,1.94117647058824,2.41176470588235,2.05,0.0526315789473684,1.73913043478261,1.04166666666667
SAMR_33525_Ct_robu,0.8,0.391304347826087,1.57142857142857,0.25,NA,0.586206896551724,0.696969696969697,1.03448275862069,0.538461538461538,1.4,1.39130434782609,1.66666666666667,2.1304347826087,0.35,1.57692307692308,0.866666666666667
SAMR_33695_Ct_robu,0.636363636363636,1.75,2.16666666666667,1.29166666666667,0.586206896551724,NA,0.527777777777778,1.17857142857143,0.692307692307692,1.36,2.26315789473684,1.77777777777778,2,1.52631578947368,1.44444444444444,1.23076923076923
SAMR_33876_Ct_robu,0.928571428571428,1.45833333333333,1.28,0.827586206896552,0.696969696969697,0.527777777777778,NA,0.971428571428571,0.9375,1.35483870967742,1.625,1.29166666666667,1.77777777777778,1.20833333333333,1.09375,0.676470588235294
SAMR_36313_Ct_robu,1.39130434782609,1.72727272727273,1.35,1.28,1.03448275862069,1.17857142857143,0.971428571428571,NA,1.03703703703704,0.958333333333333,0.260869565217391,1.44444444444444,0.625,1.47619047619048,0.344827586206897,0.259259259259259
SAMR_39480_Ct_robu,1.52941176470588,2.1875,2.375,1.25,0.538461538461538,0.692307692307692,0.9375,1.03703703703704,NA,1.9,2.58823529411765,2.91666666666667,2.44444444444445,1.5625,1.64,1.04
SAMR_40718_Ct_robu,2.47058823529412,2.70588235294118,0.4375,2.57142857142857,1.4,1.36,1.35483870967742,0.958333333333333,1.9,NA,2.21428571428571,0.125,1.70588235294118,3,0.956521739130435,0.44
SAMR_46204_Ct_robu,2.5,4.16666666666667,1.90909090909091,1.94117647058824,1.39130434782609,2.26315789473684,1.625,0.260869565217391,2.58823529411765,2.21428571428571,NA,1.83333333333333,0.941176470588235,2.66666666666667,0.0476190476190476,0.217391304347826
SAMR_48684_Ct_robu,2.84615384615385,3.63636363636364,0.0769230769230769,2.41176470588235,1.66666666666667,1.77777777777778,1.29166666666667,1.44444444444444,2.91666666666667,0.125,1.83333333333333,NA,2.46153846153846,3.8,1.4375,0.666666666666667
SAMR_48962_Ct_robu,2.82352941176471,4,1.92857142857143,2.05,2.1304347826087,2,1.77777777777778,0.625,2.44444444444445,1.70588235294118,0.941176470588235,2.46153846153846,NA,2.4375,0.736842105263158,0.380952380952381
SAMR_49609_Ct_robu,1.29411764705882,0.833333333333333,2.66666666666667,0.0526315789473684,0.35,1.52631578947368,1.20833333333333,1.47619047619048,1.5625,3,2.66666666666667,3.8,2.4375,NA,1.77777777777778,1.4
SAMR_50372_Ct_robu,1.71428571428571,2.66666666666667,1.38888888888889,1.73913043478261,1.57692307692308,1.44444444444444,1.09375,0.344827586206897,1.64,0.956521739130435,0.0476190476190476,1.4375,0.736842105263158,1.77777777777778,NA,-0.0714285714285714
SAMR_52303_Ct_robu,1.45,1.30434782608696,0.722222222222222,1.04166666666667,0.866666666666667,1.23076923076923,0.676470588235294,0.259259259259259,1.04,0.44,0.217391304347826,0.666666666666667,0.380952380952381,1.4,-0.0714285714285714,NA
