,AMSR_111496_Ct_essi,NA_CCM3982_Ct_essi,NA_CCM4853_Ct_essi,NA_CCM5043_Ct_essi,NA_CCM5044_Ct_essi,NA_CCM6122_Ct_essi,NA_CCM6150_Ct_essi,NA_K021_Ct_essi,NA_K073_Ct_essi,NA_NEB008_Ct_essi,NTMR_13717_Ct_essi,NTMR_22188_Ct_essi,NTMR_22191_Ct_essi
AMSR_111496_Ct_essi,NA,7.56603773584906,5.54929577464789,0.593023255813953,0.591549295774648,6.06153846153846,5.91304347826087,0.882352941176471,0.625,4.3030303030303,0.597560975609756,6.72881355932203,8.81578947368421
NA_CCM3982_Ct_essi,7.56603773584906,NA,6.29508196721312,5.44444444444445,6.08620689655172,5.60606060606061,6.03030303030303,7.08928571428572,5.75409836065574,4.89830508474576,5.6969696969697,6.3728813559322,12.0714285714286
NA_CCM4853_Ct_essi,5.54929577464789,6.29508196721312,NA,4.36363636363637,4.33333333333333,0,0.1875,5,4.81081081081081,0.705128205128205,4.6144578313253,0.506666666666667,1.27906976744186
NA_CCM5043_Ct_essi,0.593023255813953,5.44444444444445,4.36363636363637,NA,0.294117647058824,4.825,4.51724137931034,0.222222222222222,0.160919540229885,2.91111111111111,0.0918367346938775,4.83333333333333,6.46
NA_CCM5044_Ct_essi,0.591549295774648,6.08620689655172,4.33333333333333,0.294117647058824,NA,4.6027397260274,4.43037974683544,0.534246575342466,0.315789473684211,2.81481481481481,0.25,4.91176470588235,7.91891891891892
NA_CCM6122_Ct_essi,6.06153846153846,5.60606060606061,0,4.825,4.6027397260274,NA,0.2125,5.30555555555556,5,0.866666666666667,5.0921052631579,0.722222222222222,1.76923076923077
NA_CCM6150_Ct_essi,5.91304347826087,6.03030303030303,0.1875,4.51724137931034,4.43037974683544,0.2125,NA,5.11688311688312,4.81578947368421,0.875,4.6,0.657534246575343,1.25
NA_K021_Ct_essi,0.882352941176471,7.08928571428572,5,0.222222222222222,0.534246575342466,5.30555555555556,5.11688311688312,NA,0.347222222222222,3.83098591549296,0.384615384615385,5.55072463768116,9.02702702702703
NA_K073_Ct_essi,0.625,5.75409836065574,4.81081081081081,0.160919540229885,0.315789473684211,5,4.81578947368421,0.347222222222222,NA,3.32,0.317073170731707,5.90163934426229,9.375
NA_NEB008_Ct_essi,4.3030303030303,4.89830508474576,0.705128205128205,2.91111111111111,2.81481481481481,0.866666666666667,0.875,3.83098591549296,3.32,NA,3.46753246753247,1.35820895522388,2.475
NTMR_13717_Ct_essi,0.597560975609756,5.6969696969697,4.6144578313253,0.0918367346938775,0.25,5.0921052631579,4.6,0.384615384615385,0.317073170731707,3.46753246753247,NA,4.92207792207792,7.21739130434782
NTMR_22188_Ct_essi,6.72881355932203,6.3728813559322,0.506666666666667,4.83333333333333,4.91176470588235,0.722222222222222,0.657534246575343,5.55072463768116,5.90163934426229,1.35820895522388,4.92207792207792,NA,0.0227272727272727
NTMR_22191_Ct_essi,8.81578947368421,12.0714285714286,1.27906976744186,6.46,7.91891891891892,1.76923076923077,1.25,9.02702702702703,9.375,2.475,7.21739130434782,0.0227272727272727,NA
