,UMMZ_242606_Ct_aust,UMMZ_242607_Ct_aust,WAMR_115114_Ct_aust,WAMR_115119_Ct_aust
UMMZ_242606_Ct_aust,NA,-0.0476190476190476,0.619047619047619,0.85
UMMZ_242607_Ct_aust,-0.0476190476190476,NA,1.11111111111111,1.73333333333333
WAMR_115114_Ct_aust,0.619047619047619,1.11111111111111,NA,-0.166666666666667
WAMR_115119_Ct_aust,0.85,1.73333333333333,-0.166666666666667,NA
