,SAMR_49197_Ct_pant,SAMR_54432_Ct_pant,SAMR_55674_Ct_pant,SAMR_65403_Ct_pant
SAMR_49197_Ct_pant,NA,2271.30138907191,1822.49663922873,520.102874439279
SAMR_54432_Ct_pant,2271.30138907191,NA,449.757712551992,1765.82473649001
SAMR_55674_Ct_pant,1822.49663922873,449.757712551992,NA,1317.64676601888
SAMR_65403_Ct_pant,520.102874439279,1765.82473649001,1317.64676601888,NA
