,WAMR_102159_Ct_duri,WAMR_102494_Ct_duri,WAMR_110222_Ct_duri,WAMR_111584_Ct_duri,WAMR_141296_Ct_duri
WAMR_102159_Ct_duri,NA,295.169327612356,211.526644256322,40.7187411277646,308.456145891173
WAMR_102494_Ct_duri,295.169327612356,NA,253.605701380744,254.455880598701,259.788142377051
WAMR_110222_Ct_duri,211.526644256322,253.605701380744,NA,193.140629773539,100.93641211177
WAMR_111584_Ct_duri,40.7187411277646,254.455880598701,193.140629773539,NA,285.075261108033
WAMR_141296_Ct_duri,308.456145891173,259.788142377051,100.93641211177,285.075261108033,NA
