,SAMR_45385_Ct_pian,SAMR_48807_Ct_pian,UMMZ_242644_Ct_pian,WAMR_119955_Ct_pian,WAMR_166456_Ct_pian
SAMR_45385_Ct_pian,NA,0.6,0.823008849557522,0.743119266055046,0.376146788990826
SAMR_48807_Ct_pian,0.6,NA,0.752380952380952,0.563636363636364,0.323809523809524
UMMZ_242644_Ct_pian,0.823008849557522,0.752380952380952,NA,0.371900826446281,0.647887323943662
WAMR_119955_Ct_pian,0.743119266055046,0.563636363636364,0.371900826446281,NA,0.658119658119658
WAMR_166456_Ct_pian,0.376146788990826,0.323809523809524,0.647887323943662,0.658119658119658,NA
