,NA_CCM2292_Ct_inor,NA_CCM2518_Ct_vert,NA_CCM2565_Ct_vert,NA_CCM3869_Ct_inor,SAMAR_34180_Ct_bore,SAMR_38776_Ct_saxa,SAMR_53975_Ct_saxa
NA_CCM2292_Ct_inor,NA,0.65,0.523809523809524,0.25,3.1875,3.85714285714286,5.27272727272727
NA_CCM2518_Ct_vert,0.65,NA,0.619047619047619,0.391304347826087,3.66666666666667,3.95,3.46666666666667
NA_CCM2565_Ct_vert,0.523809523809524,0.619047619047619,NA,0.272727272727273,4.0625,4.31578947368421,4.15384615384615
NA_CCM3869_Ct_inor,0.25,0.391304347826087,0.272727272727273,NA,3.05882352941176,2.69230769230769,3.53846153846154
SAMAR_34180_Ct_bore,3.1875,3.66666666666667,4.0625,3.05882352941176,NA,1.25,0.7
SAMR_38776_Ct_saxa,3.85714285714286,3.95,4.31578947368421,2.69230769230769,1.25,NA,0.625
SAMR_53975_Ct_saxa,5.27272727272727,3.46666666666667,4.15384615384615,3.53846153846154,0.7,0.625,NA
