,NA_ABTC113898_Ct_stra,SAMAR_34780_Ct_stra,SAMAR_37916_Ct_stra,SAMAR_41349_Ct_stra,SAMAR_42343_Ct_stra,SAMAR_42800_Ct_stra,SAMAR_42955_Ct_stra,SAMAR_48386_Ct_stra,SAMAR_50902_Ct_stra,SAMR_42487_Ct_stra,SAMR_44903_Ct_stra,SAMR_44955_Ct_stra,SAMR_45029_Ct_stra,SAMR_46857_Ct_stra
NA_ABTC113898_Ct_stra,NA,721.241712310617,597.033505841506,810.026798852983,524.29316903934,378.330715244642,215.253208437035,794.103518763476,419.178982644705,697.610913587823,466.845289670539,434.594426201785,220.780720789651,803.78163115794
SAMAR_34780_Ct_stra,721.241712310617,NA,232.477790384242,288.917994803178,203.2838225372,945.403035629768,728.243252590726,476.598974806756,543.167258131408,527.951311192607,305.071860903189,288.93562285903,641.170385540726,646.582751532397
SAMAR_37916_Ct_stra,597.033505841506,232.477790384242,NA,499.931615562748,224.88910663909,748.573264871579,546.350463179144,301.279191064464,322.831266851013,311.793491466676,130.285114571606,201.905604803738,461.022940800058,440.424063348352
SAMAR_41349_Ct_stra,810.026798852983,288.917994803178,499.931615562748,NA,338.708017795487,1112.82272913544,887.290020498539,765.357184681751,768.736766131673,808.810332177575,522.929458067961,451.79578623418,805.766495673483,931.905423333673
SAMAR_42343_Ct_stra,524.29316903934,203.2838225372,224.88910663909,338.708017795487,NA,783.937938281523,559.830031034968,526.138436477961,432.674652033702,524.952148791634,192.377480520406,113.79170746084,475.167914786551,657.222070271435
SAMAR_42800_Ct_stra,378.330715244642,945.403035629768,748.573264871579,1112.82272913544,783.937938281523,NA,225.542469580072,809.481667662876,438.469529007441,678.303327907407,641.87780349693,671.836430069035,308.771978461492,729.871804713617
SAMAR_42955_Ct_stra,215.253208437035,728.243252590726,546.350463179144,887.290020498539,559.830031034968,225.542469580072,NA,666.085097948404,271.79095008231,549.139048321057,429.543034443094,448.821324760958,87.1598040816589,635.240866466
SAMAR_48386_Ct_stra,794.103518763476,476.598974806756,301.279191064464,765.357184681751,526.138436477961,809.481667662876,666.085097948404,NA,394.372394520383,135.930211030595,387.394651298684,487.689227678879,599.107883086332,188.621919568953
SAMAR_50902_Ct_stra,419.178982644705,543.167258131408,322.831266851013,768.736766131673,432.674652033702,438.469529007441,271.79095008231,394.372394520383,NA,282.074135428101,246.988273171193,325.500565944353,208.010383551221,384.859533195235
SAMR_42487_Ct_stra,697.610913587823,527.951311192607,311.793491466676,808.810332177575,524.952148791634,678.303327907407,549.139048321057,135.930211030595,282.074135428101,NA,352.411800472613,459.142812000034,490.07744022473,133.297654783921
SAMR_44903_Ct_stra,466.845289670539,305.071860903189,130.285114571606,522.929458067961,192.377480520406,641.87780349693,429.543034443094,387.394651298684,246.988273171193,352.411800472613,NA,106.788676770605,342.644569234904,485.539850716419
SAMR_44955_Ct_stra,434.594426201785,288.93562285903,201.905604803738,451.79578623418,113.79170746084,671.836430069035,448.821324760958,487.689227678879,325.500565944353,459.142812000034,106.788676770605,NA,363.231572798042,592.30876224786
SAMR_45029_Ct_stra,220.780720789651,641.170385540726,461.022940800058,805.766495673483,475.167914786551,308.771978461492,87.1598040816589,599.107883086332,208.010383551221,490.07744022473,342.644569234904,363.231572798042,NA,587.979876521189
SAMR_46857_Ct_stra,803.78163115794,646.582751532397,440.424063348352,931.905423333673,657.222070271435,729.871804713617,635.240866466,188.621919568953,384.859533195235,133.297654783921,485.539850716419,592.30876224786,587.979876521189,NA
