,AMR_123129_Ct_zast,UMMZ_242654_Ct_zast,UMMZ_242655_Ct_zast
AMR_123129_Ct_zast,NA,0.655172413793103,0.653846153846154
UMMZ_242654_Ct_zast,0.655172413793103,NA,0.303030303030303
UMMZ_242655_Ct_zast,0.653846153846154,0.303030303030303,NA
