,NA_CCM0535_Ct_inor,NTMR_25983_Ct_spal,UMMZ_242624_Ct_inor,UMMZ_242629_Ct_inor,UMMZ_242630_Ct_inor,WAMR_108698_Ct_saxa,WAMR_108745_Ct_saxa,WAMR_108816_Ct_saxa,WAMR_132522_Ct_saxa,WAMR_132682_Ct_saxa,WAMR_132686_Ct_saxa,WAMR_132723_Ct_saxa,WAMR_139005_Ct_saxa,WAMR_153812_Ct_saxa
NA_CCM0535_Ct_inor,NA,58.9155877574992,849.284863056092,536.860353300189,537.018542730891,699.55211050864,363.932450821128,1624.76220448675,1613.07329172945,1273.41191490585,1267.69193375699,1342.73814498997,1121.76450840937,1930.69540737634
NTMR_25983_Ct_spal,58.9155877574992,NA,800.941180925986,478.145244369788,478.305018878402,648.517541625075,310.36700101747,1573.91209163943,1563.09515321643,1220.82875195903,1215.15205560974,1291.55626001111,1070.16380922336,1879.85498219592
UMMZ_242624_Ct_inor,849.284863056092,800.941180925986,NA,462.040960085833,461.822322953189,163.856632552369,497.121201587642,779.535351043831,765.20010586379,445.229071667642,439.20412135526,500.914638989581,288.479884755132,1084.68138823958
UMMZ_242629_Ct_inor,536.860353300189,478.145244369788,462.040960085833,NA,0.229059197943861,304.580522822884,222.015642402859,1162.07548473778,1159.84947917355,799.577527564231,794.527904496079,882.965428647088,665.528207795593,1463.71050504005
UMMZ_242630_Ct_inor,537.018542730891,478.305018878402,461.822322953189,0.229059197943861,NA,304.371736045996,222.067269584579,1161.84975525141,1159.6223671131,799.352182703763,794.302390047486,882.738196305887,665.299687391027,1463.48649010914
WAMR_108698_Ct_saxa,699.55211050864,648.517541625075,163.856632552369,304.580522822884,304.371736045996,NA,339.951917585719,925.419631399355,914.852178779005,575.371947296116,569.556419642682,643.208100588964,422.3221139279,1231.36877811393
WAMR_108745_Ct_saxa,363.932450821128,310.36700101747,497.121201587642,222.015642402859,222.067269584579,339.951917585719,NA,1264.52069719235,1254.66677571185,910.487529559507,904.819409729743,981.966369082256,760.324927030664,1570.39349671937
WAMR_108816_Ct_saxa,1624.76220448675,1573.91209163943,779.535351043831,1162.07548473778,1161.84975525141,925.419631399355,1264.52069719235,NA,46.4980575460792,362.615322110172,367.584353526003,282.669219263842,504.544116616727,305.949963372711
WAMR_132522_Ct_saxa,1613.07329172945,1563.09515321643,765.20010586379,1159.84947917355,1159.6223671131,914.852178779005,1254.66677571185,46.4980575460792,NA,363.42994212925,367.921766988126,276.914927444371,497.282096752238,320.90274873514
WAMR_132682_Ct_saxa,1273.41191490585,1220.82875195903,445.229071667642,799.577527564231,799.352182703763,575.371947296116,910.487529559507,362.615322110172,363.42994212925,NA,6.04287669974685,94.8437692123423,156.763340329294,664.91423933245
WAMR_132686_Ct_saxa,1267.69193375699,1215.15205560974,439.20412135526,794.527904496079,794.302390047486,569.556419642682,904.819409729743,367.584353526003,367.921766988126,6.04287669974685,NA,97.7152986880112,150.744419716986,670.182906545142
WAMR_132723_Ct_saxa,1342.73814498997,1291.55626001111,500.914638989581,882.965428647088,882.738196305887,643.208100588964,981.966369082256,282.669219263842,276.914927444371,94.8437692123423,97.7152986880112,NA,221.87935364938,588.434290286709
WAMR_139005_Ct_saxa,1121.76450840937,1070.16380922336,288.479884755132,665.528207795593,665.299687391027,422.3221139279,760.324927030664,504.544116616727,497.282096752238,156.763340329294,150.744419716986,221.87935364938,NA,810.217320509979
WAMR_153812_Ct_saxa,1930.69540737634,1879.85498219592,1084.68138823958,1463.71050504005,1463.48649010914,1231.36877811393,1570.39349671937,305.949963372711,320.90274873514,664.91423933245,670.182906545142,588.434290286709,810.217320509979,NA
