,NA_CCM0848_Ct_inor,NA_CCM1249_Ct_inor,NA_CCM1444_Ct_inor,NA_CCM1445_Ct_inor,NA_CCM1530_Ct_robu,NA_CCM1580_Ct_inor,NA_CCM1710_Ct_inor,NA_CCM4920_Ct_essi,WAMR_126017_Ct_inor
NA_CCM0848_Ct_inor,NA,916.461128471906,1564.89712121916,1548.15050947897,1004.18623770693,1021.8199450001,986.996453894339,551.526971235315,883.188541592338
NA_CCM1249_Ct_inor,916.461128471906,NA,672.902667553042,655.114493810051,90.6476695784288,105.768615382825,145.83209523284,385.920976366924,85.9243853629457
NA_CCM1444_Ct_inor,1564.89712121916,672.902667553042,NA,18.1383571472171,582.698035006126,571.902963797181,578.293178240933,1013.76871129464,736.162346225342
NA_CCM1445_Ct_inor,1548.15050947897,655.114493810051,18.1383571472171,NA,564.862815203833,553.962092565908,561.400035625222,997.138907073633,718.160149270342
NA_CCM1530_Ct_robu,1004.18623770693,90.6476695784288,582.698035006126,564.862815203833,NA,23.6220236220354,111.507847257491,466.806169625038,160.093722550261
NA_CCM1580_Ct_inor,1021.8199450001,105.768615382825,571.902963797181,553.962092565908,23.6220236220354,NA,131.293564198707,487.033879725015,166.078294788934
NA_CCM1710_Ct_inor,986.996453894339,145.83209523284,578.293178240933,561.400035625222,111.507847257491,131.293564198707,NA,436.634858892416,230.486442117535
NA_CCM4920_Ct_essi,551.526971235315,385.920976366924,1013.76871129464,997.138907073633,466.806169625038,487.033879725015,436.634858892416,NA,378.705690477447
WAMR_126017_Ct_inor,883.188541592338,85.9243853629457,736.162346225342,718.160149270342,160.093722550261,166.078294788934,230.486442117535,378.705690477447,NA
