,CUMV_14847_Ct_quat,SAMR_43844_Ct_quat,SAMR_44403_Ct_quat,SAMR_48772_Ct_quat,SAMR_58939_Ct_quat,SAMR_62088_Ct_quat,UMMZ_242645_Ct_quat,UMMZ_242646_Ct_quat,WAMR_127432_Ct_quat
CUMV_14847_Ct_quat,NA,0.419354838709677,0.64,0.446428571428571,0.584905660377359,0.32,0.555555555555556,0.684210526315789,0.350877192982456
SAMR_43844_Ct_quat,0.419354838709677,NA,0.390625,0.257575757575758,0.205882352941176,0.224137931034483,0.571428571428572,0.45945945945946,0.320987654320988
SAMR_44403_Ct_quat,0.64,0.390625,NA,0.314814814814815,0.375,0.42,0.811320754716981,0.633333333333333,0.586206896551724
SAMR_48772_Ct_quat,0.446428571428571,0.257575757575758,0.314814814814815,NA,0.125,0.08,0.578947368421053,0.532258064516129,0.618181818181818
SAMR_58939_Ct_quat,0.584905660377359,0.205882352941176,0.375,0.125,NA,0.163636363636364,0.65,0.428571428571429,0.516129032258065
SAMR_62088_Ct_quat,0.32,0.224137931034483,0.42,0.08,0.163636363636364,NA,0.264150943396226,0.272727272727273,0
UMMZ_242645_Ct_quat,0.555555555555556,0.571428571428572,0.811320754716981,0.578947368421053,0.65,0.264150943396226,NA,0.242424242424242,0.409090909090909
UMMZ_242646_Ct_quat,0.684210526315789,0.45945945945946,0.633333333333333,0.532258064516129,0.428571428571429,0.272727272727273,0.242424242424242,NA,0.455882352941177
WAMR_127432_Ct_quat,0.350877192982456,0.320987654320988,0.586206896551724,0.618181818181818,0.516129032258065,0,0.409090909090909,0.455882352941177,NA
