,NA_CCM2497_Ct_spal,NA_CCM5477_Ct_vert,NTMR_21670_Ct_spal,NTMR_22298_Ct_spal,NTMR_22299_Ct_spal,NTMR_22325_Ct_spal,NTMR_22621_Ct_spal,NTMR_22622_Ct_spal,SAMAR_34202_Ct_spal,SAMAR_51093_Ct_spal,SAMAR_54485_Ct_spal,SAMAR_55675_Ct_spal,SAMR_55725_Ct_spal
NA_CCM2497_Ct_spal,NA,78.7527777287887,939.01810419182,667.786642573809,697.500537634201,843.968008872374,602.251608549118,602.251608549118,866.240728666114,1817.16785135551,2050.82836922059,2109.10241572096,2049.19032791003
NA_CCM5477_Ct_vert,78.7527777287887,NA,861.863678315776,596.906190284537,626.588381635025,773.715710064104,531.054611127707,531.054611127707,789.671450667934,1739.86637417935,1973.5361663775,2031.81175309131,1971.97844815809
NTMR_21670_Ct_spal,939.01810419182,861.863678315776,NA,361.787230288743,343.601513384327,300.491264432096,400.032498679795,400.032498679795,86.6371744691619,879.323603686379,1118.30675576963,1176.31118331843,1111.97032334501
NTMR_22298_Ct_spal,667.786642573809,596.906190284537,361.787230288743,NA,29.732137494637,177.220202008687,66.3475696615935,66.3475696615935,275.619302662205,1207.48416138681,1454.83401115041,1511.97817444565,1438.62573312172
NTMR_22299_Ct_spal,697.500537634201,626.588381635025,343.601513384327,29.732137494637,NA,147.699018277035,95.7810002035894,95.7810002035894,257.996124001893,1181.67423598892,1429.62582517245,1486.64387127516,1412.51123889334
NTMR_22325_Ct_spal,843.968008872374,773.715710064104,300.491264432096,177.220202008687,147.699018277035,NA,243.065834703275,243.065834703275,231.056270202737,1067.04123631657,1317.83420808537,1373.90283499234,1294.92432211307
NTMR_22621_Ct_spal,602.251608549118,531.054611127707,400.032498679795,66.3475696615935,95.7810002035894,243.065834703275,NA,0,314.264220044217,1260.35947253155,1505.91500424161,1563.35728482008,1492.1038837829
NTMR_22622_Ct_spal,602.251608549118,531.054611127707,400.032498679795,66.3475696615935,95.7810002035894,243.065834703275,0,NA,314.264220044217,1260.35947253155,1505.91500424161,1563.35728482008,1492.1038837829
SAMAR_34202_Ct_spal,866.240728666114,789.671450667934,86.6371744691619,275.619302662205,257.996124001893,231.056270202737,314.264220044217,314.264220044217,NA,956.97230889927,1198.39642856611,1256.24440297261,1189.45785969912
SAMAR_51093_Ct_spal,1817.16785135551,1739.86637417935,879.323603686379,1207.48416138681,1181.67423598892,1067.04123631657,1260.35947253155,1260.35947253155,956.97230889927,NA,254.892134048895,309.066335921595,234.038458378105
SAMAR_54485_Ct_spal,2050.82836922059,1973.5361663775,1118.30675576963,1454.83401115041,1429.62582517245,1317.83420808537,1505.91500424161,1505.91500424161,1198.39642856611,254.892134048895,NA,58.3266662856707,88.3289307078943
SAMAR_55675_Ct_spal,2109.10241572096,2031.81175309131,1176.31118331843,1511.97817444565,1486.64387127516,1373.90283499234,1563.35728482008,1563.35728482008,1256.24440297261,309.066335921595,58.3266662856707,NA,106.348483769163
SAMR_55725_Ct_spal,2049.19032791003,1971.97844815809,1111.97032334501,1438.62573312172,1412.51123889334,1294.92432211307,1492.1038837829,1492.1038837829,1189.45785969912,234.038458378105,88.3289307078943,106.348483769163,NA
