,CUMV_14377_Ct_gree,CUMV_14378_Ct_gree,NTMR_13629_Ct_gree,SAMR_48771_Ct_gree
CUMV_14377_Ct_gree,NA,0.296296296296296,1.11428571428571,0.25
CUMV_14378_Ct_gree,0.296296296296296,NA,1.025,0.323529411764706
NTMR_13629_Ct_gree,1.11428571428571,1.025,NA,0.595238095238095
SAMR_48771_Ct_gree,0.25,0.323529411764706,0.595238095238095,NA
