,CUMV_1450314572_Ct_pant,CUMV_14516_Ct_pant,CUMV_14517_Ct_pant,CUMV_14525_Ct_pant,CUMV_14526_Ct_pant,CUMV_14527_Ct_pant,CUMV_14559_Ct_pant,CUMV_14567_Ct_pant,CUMV_14570_Ct_pant,CUMV_1457314504_Ct_pant,CUMV_14576_Ct_pant,NA_CCM1889_Ct_pant,NA_CCM2756_Ct_pant,QM_62378_Ct_pant,SAMR_42153_Ct_pant,SAMR_44378_Ct_pant,SAMR_44860_Ct_pant,SAMR_45310_Ct_pant,SAMR_45528_Ct_pant,SAMR_49197_Ct_pant,SAMR_54432_Ct_pant,SAMR_55674_Ct_pant,SAMR_65403_Ct_pant,UMMZ_242633_Ct_pant,UMMZ_242634_Ct_pant,UMMZ_242638_Ct_pant,UMMZ_242639_Ct_pant,UMMZ_242643_Ct_pant,WAMR_104950_Ct_pant,WAMR_108591_Ct_pant,WAMR_108704_Ct_pant,WAMR_119962_Ct_pant,WAMR_129863_Ct_pant,WAMR_129885_Ct_pant,WAMR_131057_Ct_pant,WAMR_132520_Ct_pant,WAMR_135379_Ct_pant,WAMR_139092_Ct_pant,WAMR_140704_Ct_pant,WAMR_145526_Ct_pant,WAMR_153984_Ct_pant,WAMR_158463_Ct_pant
CUMV_1450314572_Ct_pant,NA,537.781554164886,537.781554164886,537.781554164886,537.781554164886,537.781554164886,0,0,0,0,24.4335834457412,266.229224541559,1443.10706463519,87.9204185613331,30.6920185064456,201.995049444287,167.898779030701,1726.02056766424,2198.38190494736,232.402667798801,2485.65786060753,2037.28913019237,722.228495699249,3101.33664731838,3101.33664731838,1887.02358225858,1887.02358225858,2281.1060913513,1376.82642333738,1787.47699285893,2015.36448316427,1075.65654369785,930.485357219553,85.7962703152066,425.569030828137,3043.40647958829,1234.03363001176,2505.39158615974,738.995263854918,1853.11224700502,1705.11289948789,2288.30461258985
CUMV_14516_Ct_pant,537.781554164886,NA,0,0,0,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,525.206626005423,311.253915638021,913.110617614317,451.646986041089,524.212743072886,397.988693306732,376.994694922886,1191.0491173751,1661.36510135491,314.10507795959,1958.63574969926,1510.23839177793,236.624174589157,2572.46068968993,2572.46068968993,1360.26798830231,1360.26798830231,1744.30616578627,845.045560901896,1260.83266137898,1484.93063811075,543.663498866716,405.524351919832,453.949336380174,188.058501536091,2507.17969040913,712.192389737492,1971.53037004252,223.819123401018,1319.30663607821,1196.34317818927,1752.08647046885
CUMV_14517_Ct_pant,537.781554164886,0,NA,0,0,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,525.206626005423,311.253915638021,913.110617614317,451.646986041089,524.212743072886,397.988693306732,376.994694922886,1191.0491173751,1661.36510135491,314.10507795959,1958.63574969926,1510.23839177793,236.624174589157,2572.46068968993,2572.46068968993,1360.26798830231,1360.26798830231,1744.30616578627,845.045560901896,1260.83266137898,1484.93063811075,543.663498866716,405.524351919832,453.949336380174,188.058501536091,2507.17969040913,712.192389737492,1971.53037004252,223.819123401018,1319.30663607821,1196.34317818927,1752.08647046885
CUMV_14525_Ct_pant,537.781554164886,0,0,NA,0,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,525.206626005423,311.253915638021,913.110617614317,451.646986041089,524.212743072886,397.988693306732,376.994694922886,1191.0491173751,1661.36510135491,314.10507795959,1958.63574969926,1510.23839177793,236.624174589157,2572.46068968993,2572.46068968993,1360.26798830231,1360.26798830231,1744.30616578627,845.045560901896,1260.83266137898,1484.93063811075,543.663498866716,405.524351919832,453.949336380174,188.058501536091,2507.17969040913,712.192389737492,1971.53037004252,223.819123401018,1319.30663607821,1196.34317818927,1752.08647046885
CUMV_14526_Ct_pant,537.781554164886,0,0,0,NA,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,525.206626005423,311.253915638021,913.110617614317,451.646986041089,524.212743072886,397.988693306732,376.994694922886,1191.0491173751,1661.36510135491,314.10507795959,1958.63574969926,1510.23839177793,236.624174589157,2572.46068968993,2572.46068968993,1360.26798830231,1360.26798830231,1744.30616578627,845.045560901896,1260.83266137898,1484.93063811075,543.663498866716,405.524351919832,453.949336380174,188.058501536091,2507.17969040913,712.192389737492,1971.53037004252,223.819123401018,1319.30663607821,1196.34317818927,1752.08647046885
CUMV_14527_Ct_pant,537.781554164886,0,0,0,0,NA,537.781554164886,537.781554164886,537.781554164886,537.781554164886,525.206626005423,311.253915638021,913.110617614317,451.646986041089,524.212743072886,397.988693306732,376.994694922886,1191.0491173751,1661.36510135491,314.10507795959,1958.63574969926,1510.23839177793,236.624174589157,2572.46068968993,2572.46068968993,1360.26798830231,1360.26798830231,1744.30616578627,845.045560901896,1260.83266137898,1484.93063811075,543.663498866716,405.524351919832,453.949336380174,188.058501536091,2507.17969040913,712.192389737492,1971.53037004252,223.819123401018,1319.30663607821,1196.34317818927,1752.08647046885
CUMV_14559_Ct_pant,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,537.781554164886,NA,0,0,0,24.4335834457412,266.229224541559,1443.10706463519,87.9204185613331,30.6920185064456,201.995049444287,167.898779030701,1726.02056766424,2198.38190494736,232.402667798801,2485.65786060753,2037.28913019237,722.228495699249,3101.33664731838,3101.33664731838,1887.02358225858,1887.02358225858,2281.1060913513,1376.82642333738,1787.47699285893,2015.36448316427,1075.65654369785,930.485357219553,85.7962703152066,425.569030828137,3043.40647958829,1234.03363001176,2505.39158615974,738.995263854918,1853.11224700502,1705.11289948789,2288.30461258985
CUMV_14567_Ct_pant,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,537.781554164886,0,NA,0,0,24.4335834457412,266.229224541559,1443.10706463519,87.9204185613331,30.6920185064456,201.995049444287,167.898779030701,1726.02056766424,2198.38190494736,232.402667798801,2485.65786060753,2037.28913019237,722.228495699249,3101.33664731838,3101.33664731838,1887.02358225858,1887.02358225858,2281.1060913513,1376.82642333738,1787.47699285893,2015.36448316427,1075.65654369785,930.485357219553,85.7962703152066,425.569030828137,3043.40647958829,1234.03363001176,2505.39158615974,738.995263854918,1853.11224700502,1705.11289948789,2288.30461258985
CUMV_14570_Ct_pant,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,537.781554164886,0,0,NA,0,24.4335834457412,266.229224541559,1443.10706463519,87.9204185613331,30.6920185064456,201.995049444287,167.898779030701,1726.02056766424,2198.38190494736,232.402667798801,2485.65786060753,2037.28913019237,722.228495699249,3101.33664731838,3101.33664731838,1887.02358225858,1887.02358225858,2281.1060913513,1376.82642333738,1787.47699285893,2015.36448316427,1075.65654369785,930.485357219553,85.7962703152066,425.569030828137,3043.40647958829,1234.03363001176,2505.39158615974,738.995263854918,1853.11224700502,1705.11289948789,2288.30461258985
CUMV_1457314504_Ct_pant,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,537.781554164886,0,0,0,NA,24.4335834457412,266.229224541559,1443.10706463519,87.9204185613331,30.6920185064456,201.995049444287,167.898779030701,1726.02056766424,2198.38190494736,232.402667798801,2485.65786060753,2037.28913019237,722.228495699249,3101.33664731838,3101.33664731838,1887.02358225858,1887.02358225858,2281.1060913513,1376.82642333738,1787.47699285893,2015.36448316427,1075.65654369785,930.485357219553,85.7962703152066,425.569030828137,3043.40647958829,1234.03363001176,2505.39158615974,738.995263854918,1853.11224700502,1705.11289948789,2288.30461258985
CUMV_14576_Ct_pant,24.4335834457412,525.206626005423,525.206626005423,525.206626005423,525.206626005423,525.206626005423,24.4335834457412,24.4335834457412,24.4335834457412,24.4335834457412,NA,255.21559513478,1431.98358929144,81.4555093287127,36.1247837363769,190.45471902791,151.680585441908,1713.48475336082,2185.97438228356,217.471837257149,2474.51086075612,2025.82477030961,711.285456058255,3090.2054947851,3090.2054947851,1876.02105531894,1876.02105531894,2269.23467274762,1365.76059395488,1776.30599841356,2004.22229306033,1064.73189113504,918.532525281495,75.6967634711022,415.689788183448,3031.78462295724,1222.92354626117,2494.07096931904,728.459333113387,1841.8973912789,1693.46065794278,2276.63853081687
NA_CCM1889_Ct_pant,266.229224541559,311.253915638021,311.253915638021,311.253915638021,311.253915638021,311.253915638021,266.229224541559,266.229224541559,266.229224541559,266.229224541559,255.21559513478,NA,1191.75584747884,193.458005779032,265.491996112877,90.1665126307988,128.910821888622,1475.87906008589,1952.16828168065,143.927064862728,2229.15970715425,1780.73945314861,463.620534489144,2845.73593293545,2845.73593293545,1631.79962005143,1631.79962005143,2037.36373777487,1128.51362419778,1531.87205732071,1762.55609839801,831.762586318957,677.323408719941,199.51190440673,166.72432336045,2798.54944569504,977.893143446665,2255.82911586849,490.829909439105,1605.37752569294,1441.82523212767,2043.63793270726
NA_CCM2756_Ct_pant,1443.10706463519,913.110617614317,913.110617614317,913.110617614317,913.110617614317,913.110617614317,1443.10706463519,1443.10706463519,1443.10706463519,1443.10706463519,1431.98358929144,1191.75584747884,NA,1357.02763420647,1431.94692639078,1278.2808768029,1284.22350079727,303.131984455616,771.937173609355,1226.52068877781,1046.7793463763,601.066552055594,730.885763987779,1659.88644189896,1659.88644189896,448.885286014144,448.885286014144,856.139591421866,77.5951029382654,351.337444631226,572.407197718547,373.974598067837,516.748488144861,1361.30048115763,1028.58592251693,1610.83798067962,223.810187435693,1064.33688275846,704.484208481638,416.508103162472,370.666966426737,859.107676604045
QM_62378_Ct_pant,87.9204185613331,451.646986041089,451.646986041089,451.646986041089,451.646986041089,451.646986041089,87.9204185613331,87.9204185613331,87.9204185613331,87.9204185613331,81.4555093287127,193.458005779032,1357.02763420647,NA,76.2889244910426,151.518975709315,94.9210198006743,1640.20456041312,2111.93678882679,151.469468870793,2400.37601221142,1952.15342634743,638.894357464519,3015.74020764389,3015.74020764389,1801.52768504955,1801.52768504955,2194.20167714821,1290.28950239859,1702.1321922812,1929.34341162998,988.780562106679,845.550116787882,16.7630546142402,344.89273694875,2956.36618164936,1149.16186849373,2418.79122703883,653.077330796285,1766.37963077024,1623.16172946506,2201.34549764457
