,CUMV_14845_Ct_calu,WAMR_102658_Ct_nasu,WAMR_139414_Ct_nigr,WAMR_157327_Ct_rufe
CUMV_14845_Ct_calu,NA,570.728208449214,835.525578471313,1135.84405138791
WAMR_102658_Ct_nasu,570.728208449214,NA,313.739096996069,619.343864206997
WAMR_139414_Ct_nigr,835.525578471313,313.739096996069,NA,616.201810364648
WAMR_157327_Ct_rufe,1135.84405138791,619.343864206997,616.201810364648,NA
