,SAMR_45385_Ct_pian,SAMR_48807_Ct_pian,UMMZ_242644_Ct_pian,WAMR_099165_Ct_duri,WAMR_119955_Ct_pian,WAMR_139394_Ct_duri,WAMR_157067_Ct_duri,WAMR_160095_Ct_duri,WAMR_161462_Ct_duri,WAMR_162334_Ct_duri,WAMR_166456_Ct_pian,WAMR_170467_Ct_duri,WAMR_170880_Ct_duri
SAMR_45385_Ct_pian,NA,118.570654042221,1580.11961572534,1075.58914088977,775.225128591689,1095.22006920984,392.643604302935,1062.13511381556,1437.60112687769,803.424545305905,268.708019977075,84.7584804016684,1312.33303699937
SAMR_48807_Ct_pian,118.570654042221,NA,1462.57136578015,958.845660156002,659.859833601046,979.333446789192,278.937268933357,946.62452957865,1320.88909451172,687.347073900806,383.125305872635,93.5040106091712,1195.83150987085
UMMZ_242644_Ct_pian,1580.11961572534,1462.57136578015,NA,513.928010522875,817.535320337904,513.309847947612,1191.38532809499,552.478958875358,200.751089660804,785.154124997124,1835.68461343445,1522.31205736537,305.191743007572
WAMR_099165_Ct_duri,1075.58914088977,958.845660156002,513.928010522875,NA,304.660466749462,61.7170964968379,687.24886322205,81.0493676718085,363.283635744854,273.373371051388,1334.86628543836,1018.02750454003,239.445192058642
WAMR_119955_Ct_pian,775.225128591689,659.859833601046,817.535320337904,304.660466749462,NA,321.077872174337,389.120803864301,289.29051142407,664.431335805288,36.2077339804633,1035.56071767907,717.321406344464,538.841349564044
WAMR_139394_Ct_duri,1095.22006920984,979.333446789192,513.309847947612,61.7170964968379,321.077872174337,NA,709.485729243372,40.1746188532013,345.3027656999,293.264385836399,1356.46046754043,1038.37132086744,219.579142907518
WAMR_157067_Ct_duri,392.643604302935,278.937268933357,1191.38532809499,687.24886322205,389.120803864301,709.485729243372,NA,678.25806298193,1050.21045509936,416.482892805935,647.931323521251,331.320086925016,925.234564853692
WAMR_160095_Ct_duri,1062.13511381556,946.62452957865,552.478958875358,81.0493676718085,289.29051142407,40.1746188532013,678.25806298193,NA,381.557335141129,263.138746671789,1324.16653031256,1005.87822324574,256.263536227845
WAMR_161462_Ct_duri,1437.60112687769,1320.88909451172,200.751089660804,363.283635744854,664.431335805288,345.3027656999,1050.21045509936,381.557335141129,NA,634.751920044359,1697.8842716746,1380.6393446516,125.884868034248
WAMR_162334_Ct_duri,803.424545305905,687.347073900806,785.154124997124,273.373371051388,36.2077339804633,293.264385836399,416.482892805935,263.138746671789,634.751920044359,NA,1063.70907676864,746.11460245729,509.390812637998
WAMR_166456_Ct_pian,268.708019977075,383.125305872635,1835.68461343445,1334.86628543836,1035.56071767907,1356.46046754043,647.931323521251,1324.16653031256,1697.8842716746,1063.70907676864,NA,319.004702159702,1572.89224042844
WAMR_170467_Ct_duri,84.7584804016684,93.5040106091712,1522.31205736537,1018.02750454003,717.321406344464,1038.37132086744,331.320086925016,1005.87822324574,1380.6393446516,746.11460245729,319.004702159702,NA,1255.40830011594
WAMR_170880_Ct_duri,1312.33303699937,1195.83150987085,305.191743007572,239.445192058642,538.841349564044,219.579142907518,925.234564853692,256.263536227845,125.884868034248,509.390812637998,1572.89224042844,1255.40830011594,NA
