,CUMV_14305_Ct_gran,CUMV_14312_Ct_gran,SAMR_48821_Ct_gran,UMMZ_242608_Ct_gran,UMMZ_242609_Ct_gran,UMMZ_242613_Ct_gran
CUMV_14305_Ct_gran,NA,0.685714285714286,0.555555555555556,0.852941176470588,0.894736842105263,0.96875
CUMV_14312_Ct_gran,0.685714285714286,NA,0.111111111111111,0.476190476190476,0.369565217391304,0.447368421052632
SAMR_48821_Ct_gran,0.555555555555556,0.111111111111111,NA,0.363636363636364,0.3125,0.425
UMMZ_242608_Ct_gran,0.852941176470588,0.476190476190476,0.363636363636364,NA,0.222222222222222,0.351351351351351
UMMZ_242609_Ct_gran,0.894736842105263,0.369565217391304,0.3125,0.222222222222222,NA,0.390243902439024
UMMZ_242613_Ct_gran,0.96875,0.447368421052632,0.425,0.351351351351351,0.390243902439024,NA
