,NA_CCM2279_Ct_essi,NA_CCM2281_Ct_cogg,NA_CCM2294_Ct_essi,NA_CCM2339_Ct_essi,NA_CCM2556_Ct_cogg
NA_CCM2279_Ct_essi,NA,-0.0875,-0.0344827586206896,0.734939759036145,0.921052631578947
NA_CCM2281_Ct_cogg,-0.0875,NA,-0.0434782608695652,0.819672131147541,0.947368421052632
NA_CCM2294_Ct_essi,-0.0344827586206896,-0.0434782608695652,NA,0.79746835443038,0.942857142857143
NA_CCM2339_Ct_essi,0.734939759036145,0.819672131147541,0.79746835443038,NA,0.365079365079365
NA_CCM2556_Ct_cogg,0.921052631578947,0.947368421052632,0.942857142857143,0.365079365079365,NA
