,NA_CCM1006_Ct_ehma,NA_CCM1013_Ct_ehma,NA_CCM1424_Ct_ehma,NA_CCM1425_Ct_ehma
NA_CCM1006_Ct_ehma,NA,0.402597402597403,9.10989010989011,9.6764705882353
NA_CCM1013_Ct_ehma,0.402597402597403,NA,9.35393258426966,9.4
NA_CCM1424_Ct_ehma,9.10989010989011,9.35393258426966,NA,0.273092369477912
NA_CCM1425_Ct_ehma,9.6764705882353,9.4,0.273092369477912,NA
