,AMSR_111496_Ct_essi,NA_CCM5043_Ct_essi,NA_CCM5044_Ct_essi,NA_K021_Ct_essi,NA_K073_Ct_essi,NTMR_13717_Ct_essi
AMSR_111496_Ct_essi,NA,201.774626749748,97.9642792042079,163.743702168969,153.202480397675,156.993630444041
NA_CCM5043_Ct_essi,201.774626749748,NA,197.022841315417,59.152345684681,50.0199960015992,154.330813514347
NA_CCM5044_Ct_essi,97.9642792042079,197.022841315417,NA,186.909068800848,149.759807692184,78.5238817176023
NA_K021_Ct_essi,163.743702168969,59.152345684681,186.909068800848,NA,51.0392006206994,168.442868652846
NA_K073_Ct_essi,153.202480397675,50.0199960015992,149.759807692184,51.0392006206994,NA,119.205704561485
NTMR_13717_Ct_essi,156.993630444041,154.330813514347,78.5238817176023,168.442868652846,119.205704561485,NA
