,SAMAR_33571_Ct_taen,SAMAR_33727_Ct_taen,SAMAR_34743_Ct_taen,SAMAR_55603_Ct_taen,SAMAR_55863_Ct_taen,SAMAR_55882_Ct_taen
SAMAR_33571_Ct_taen,NA,0.286632390745501,0.444047619047619,1.27773801002147,3.77290322580645,1.87973640856672
SAMAR_33727_Ct_taen,0.286632390745501,NA,0.378531073446328,1.18622696411251,3.6875,1.76872246696035
SAMAR_34743_Ct_taen,0.444047619047619,0.378531073446328,NA,1.21652173913043,3.55030487804878,1.85427135678392
SAMAR_55603_Ct_taen,1.27773801002147,1.18622696411251,1.21652173913043,NA,1.9526678141136,0.968421052631579
SAMAR_55863_Ct_taen,3.77290322580645,3.6875,3.55030487804878,1.9526678141136,NA,2.41076769690927
SAMAR_55882_Ct_taen,1.87973640856672,1.76872246696035,1.85427135678392,0.968421052631579,2.41076769690927,NA
