,NA_ABTC89250_Ct_broo,SAMAR_25688_Ct_eucl,SAMAR_36575_Ct_eucl,SAMAR_56672_Ct_broo,SAMAR_61390_Ct_eucl,SAMR_46072_Ct_eucl
NA_ABTC89250_Ct_broo,NA,0.862068965517241,0.24390243902439,0.380952380952381,0.512820512820513,0.257142857142857
SAMAR_25688_Ct_eucl,0.862068965517241,NA,0.67741935483871,0.441176470588235,0.794117647058824,0.586206896551724
SAMAR_36575_Ct_eucl,0.24390243902439,0.67741935483871,NA,0.302325581395349,0.511111111111111,0.135135135135135
SAMAR_56672_Ct_broo,0.380952380952381,0.441176470588235,0.302325581395349,NA,0.512195121951219,0.272727272727273
SAMAR_61390_Ct_eucl,0.512820512820513,0.794117647058824,0.511111111111111,0.512195121951219,NA,0.307692307692308
SAMR_46072_Ct_eucl,0.257142857142857,0.586206896551724,0.135135135135135,0.272727272727273,0.307692307692308,NA
