,CUMV_14730_Ct_leon,CUMV_14742_Ct_leon,CUMV_14744_Ct_leon,NA_CCM1955_Ct_leon,NTMR_25649_Ct_leon,SAMR_22246_Ct_leon,SAMR_46944_Ct_leon,SAMR_49090_Ct_leon,SAMR_51082_Ct_leon,SAMR_51580_Ct_leon,SAMR_62131_Ct_leon,WAMR_117303_Ct_leon,WAMR_119774_Ct_leon,WAMR_129973_Ct_leon,WAMR_131785_Ct_leon,WAMR_144639_Ct_leon,WAMR_166448_Ct_leon
CUMV_14730_Ct_leon,NA,311.744197747037,252.362088252116,1357.64991234104,1174.95500686527,1440.38333966686,1334.13467136519,1922.36035114533,1484.48559820459,987.650033058205,689.220546900453,536.533789258836,501.735263083932,121.2087584663,601.57335014031,399.896205756652,738.421268097275
CUMV_14742_Ct_leon,311.744197747037,NA,431.637004311823,1249.10410624017,969.670162348843,1149.9685544114,1110.2731212315,1679.11084788594,1409.71559226756,778.881072112392,515.823683274435,704.17925924629,348.971200622397,295.553867132381,839.994103452643,328.664806348421,606.037154810892
CUMV_14744_Ct_leon,252.362088252116,431.637004311823,NA,1600.35939861971,1382.91256796393,1575.47704624303,1532.43660511475,2108.46416804589,1733.30419985875,1192.42522512734,905.425376935813,291.397426799246,719.065933079044,156.480922847878,409.236631235569,288.798206474779,969.518743154425
NA_CCM1955_Ct_leon,1357.64991234104,1249.10410624017,1600.35939861971,NA,483.326501028204,1053.4970687545,558.860543357011,949.491505962679,211.552897558624,582.644228795569,738.84730380061,1891.11982094622,902.117036057489,1445.12256791286,1945.75953739759,1577.71683366485,643.466718429481
NTMR_25649_Ct_leon,1174.95500686527,969.670162348843,1382.91256796393,483.326501028204,NA,597.280921753236,177.140906867033,769.664951022926,694.829826498204,190.988301703664,486.496046520951,1668.37120711576,673.267361666274,1229.08252134474,1774.32705803422,1280.4736707556,468.260651568653
SAMR_22246_Ct_leon,1440.38333966686,1149.9685544114,1575.47704624303,1053.4970687545,597.280921753236,NA,496.720282299195,681.178860413296,1258.33171780184,638.749867043838,870.722172919991,1821.70432636326,1005.19173435672,1445.47774419995,1984.25757019072,1371.6296945252,927.994935932848
SAMR_46944_Ct_leon,1334.13467136519,1110.2731212315,1532.43660511475,558.860543357011,177.140906867033,496.720282299195,NA,596.113282574247,761.784913551883,347.921672518422,650.978194744401,1813.69443121154,834.523352444581,1380.91707206666,1929.86572773187,1409.13930620737,642.94667953124
SAMR_49090_Ct_leon,1922.36035114533,1679.11084788594,2108.46416804589,949.491505962679,769.664951022926,681.178860413296,596.113282574247,NA,1083.80888720245,942.534180290864,1245.62714405845,2381.97280422014,1426.64571131493,1960.85076332628,2511.89342524141,1956.05872793674,1237.87677832731
SAMR_51082_Ct_leon,1484.48559820459,1409.71559226756,1733.30419985875,211.552897558624,694.829826498204,1258.33171780184,761.784913551883,1083.80888720245,NA,787.991428316343,912.779766389495,2021.01325349165,1060.78834027771,1580.95363192821,2056.05740946533,1737.42356346805,806.915570423024
SAMR_51580_Ct_leon,987.650033058205,778.881072112392,1192.42522512734,582.644228795569,190.988301703664,638.749867043838,347.921672518422,942.534180290864,787.991428316343,NA,303.204734576045,1477.46984010383,486.954358958074,1038.99691145797,1585.55803491817,1091.59473343023,310.342931911437
SAMR_62131_Ct_leon,689.220546900453,515.823683274435,905.425376935813,738.84730380061,486.496046520951,870.722172919991,650.978194744401,1245.62714405845,912.779766389495,303.204734576045,NA,1194.71124346309,187.848573322066,749.710059434496,1289.89804506837,842.708244341146,119.071065124742
WAMR_117303_Ct_leon,536.533789258836,704.17925924629,291.397426799246,1891.11982094622,1668.37120711576,1821.70432636326,1813.69443121154,2381.97280422014,2021.01325349165,1477.46984010383,1194.71124346309,NA,1009.23047268636,447.759876695088,223.672121277531,456.143966666598,1260.8098890024
WAMR_119774_Ct_leon,501.735263083932,348.971200622397,719.065933079044,902.117036057489,673.267361666274,1005.19173435672,834.523352444581,1426.64571131493,1060.78834027771,486.954358958074,187.848573322066,1009.23047268636,NA,562.9533562789,1102.0856238969,677.211531308039,258.774345507304
WAMR_129973_Ct_leon,121.2087584663,295.553867132381,156.480922847878,1445.12256791286,1229.08252134474,1445.47774419995,1380.91707206666,1960.85076332628,1580.95363192821,1038.99691145797,749.710059434496,447.759876695088,562.9533562789,NA,551.130845902757,286.862816008943,813.066256269502
WAMR_131785_Ct_leon,601.57335014031,839.994103452643,409.236631235569,1945.75953739759,1774.32705803422,1984.25757019072,1929.86572773187,2511.89342524141,2056.05740946533,1585.55803491817,1289.89804506837,223.672121277531,1102.0856238969,551.130845902757,NA,647.959570285772,1338.98540705942
WAMR_144639_Ct_leon,399.896205756652,328.664806348421,288.798206474779,1577.71683366485,1280.4736707556,1371.6296945252,1409.13930620737,1956.05872793674,1737.42356346805,1091.59473343023,842.708244341146,456.143966666598,677.211531308039,286.862816008943,647.959570285772,NA,934.697893619898
WAMR_166448_Ct_leon,738.421268097275,606.037154810892,969.518743154425,643.466718429481,468.260651568653,927.994935932848,642.94667953124,1237.87677832731,806.915570423024,310.342931911437,119.071065124742,1260.8098890024,258.774345507304,813.066256269502,1338.98540705942,934.697893619898,NA
