,CUMV_14812_Ct_aria,SAMAR_35025_Ct_aria,SAMAR_38117_Ct_aria,SAMAR_45960_Ct_aria,WAMR_140983_Ct_mary,WAMR_158428_Ct_mary
CUMV_14812_Ct_aria,NA,0.324675324675325,0.824427480916031,0.646666666666667,2.06329113924051,1.84523809523809
SAMAR_35025_Ct_aria,0.324675324675325,NA,0.0962199312714777,0.273049645390071,0.666666666666667,0.707762557077626
SAMAR_38117_Ct_aria,0.824427480916031,0.0962199312714777,NA,0.562962962962963,2.53846153846154,2.42253521126761
SAMAR_45960_Ct_aria,0.646666666666667,0.273049645390071,0.562962962962963,NA,1.68085106382979,1.72043010752688
WAMR_140983_Ct_mary,2.06329113924051,0.666666666666667,2.53846153846154,1.68085106382979,NA,0.4
WAMR_158428_Ct_mary,1.84523809523809,0.707762557077626,2.42253521126761,1.72043010752688,0.4,NA
