,NA_CCM0753_Ct_robu,NA_CCM0823_Ct_robu,NA_CCM0830_Ct_inor,NA_CCM0847_Ct_robu,NA_CCM0849_Ct_inor,NA_CCM0850_Ct_inor,NA_CCM0946_Ct_inor,NA_CCM0980_Ct_mast,NA_CCM1061_Ct_sp,NA_CCM1206_Ct_robu,NA_CCM1390_Ct_inor,NA_CCM1529_Ct_inor,NA_CCM1579_Ct_inor
NA_CCM0753_Ct_robu,NA,0.311111111111111,0.26,0.157894736842105,0.150943396226415,0.147540983606557,0.321428571428571,0.279411764705882,0.233333333333333,0.271186440677966,0.274193548387097,0.531914893617021,0.152542372881356
NA_CCM0823_Ct_robu,0.311111111111111,NA,0.15,0.456521739130435,0.304347826086957,0.319148936170213,0.232558139534884,0.372549019607843,0.341463414634146,0.744186046511628,0.4,0.641025641025641,0.4
NA_CCM0830_Ct_inor,0.26,0.15,NA,0.145833333333333,0.134615384615385,0.25,0.34,0.426229508196721,0.259259259259259,0.508771929824561,0.452830188679245,0.476190476190476,0.264150943396226
NA_CCM0847_Ct_robu,0.157894736842105,0.456521739130435,0.145833333333333,NA,0.12280701754386,0.272727272727273,0.178571428571429,0.265625,0.228070175438597,0.375,0.423728813559322,0.489795918367347,0.220338983050847
NA_CCM0849_Ct_inor,0.150943396226415,0.304347826086957,0.134615384615385,0.12280701754386,NA,0.254545454545455,0.157894736842105,0.235294117647059,0.220338983050847,0.372881355932203,0.25,0.340425531914894,0.166666666666667
NA_CCM0850_Ct_inor,0.147540983606557,0.319148936170213,0.25,0.272727272727273,0.254545454545455,NA,0.349206349206349,0.242857142857143,0.292307692307692,0.354838709677419,0.283582089552239,0.314814814814815,0.280701754385965
NA_CCM0946_Ct_inor,0.321428571428571,0.232558139534884,0.34,0.178571428571429,0.157894736842105,0.349206349206349,NA,0.289855072463768,0.296875,0.288135593220339,0.328125,0.6,0.454545454545455
NA_CCM0980_Ct_mast,0.279411764705882,0.372549019607843,0.426229508196721,0.265625,0.235294117647059,0.242857142857143,0.289855072463768,NA,0.273972602739726,0.472222222222222,0.36986301369863,0.622950819672131,0.323076923076923
NA_CCM1061_Ct_sp,0.233333333333333,0.341463414634146,0.259259259259259,0.228070175438597,0.220338983050847,0.292307692307692,0.296875,0.273972602739726,NA,0.367647058823529,0.185714285714286,0.345454545454545,0.23728813559322
NA_CCM1206_Ct_robu,0.271186440677966,0.744186046511628,0.508771929824561,0.375,0.372881355932203,0.354838709677419,0.288135593220339,0.472222222222222,0.367647058823529,NA,0.289855072463768,0.39622641509434,0.0967741935483871
NA_CCM1390_Ct_inor,0.274193548387097,0.4,0.452830188679245,0.423728813559322,0.25,0.283582089552239,0.328125,0.36986301369863,0.185714285714286,0.289855072463768,NA,0.303571428571429,0.372881355932203
NA_CCM1529_Ct_inor,0.531914893617021,0.641025641025641,0.476190476190476,0.489795918367347,0.340425531914894,0.314814814814815,0.6,0.622950819672131,0.345454545454545,0.39622641509434,0.303571428571429,NA,0.28
NA_CCM1579_Ct_inor,0.152542372881356,0.4,0.264150943396226,0.220338983050847,0.166666666666667,0.280701754385965,0.454545454545455,0.323076923076923,0.23728813559322,0.0967741935483871,0.372881355932203,0.28,NA
