,CUMV_14467_Ct_leae,CUMV_14468_Ct_leae,CUMV_14469_Ct_leae,CUMV_14470_Ct_leae,NA_ABTC10512_Ct_leae,SAMAR_24688_Ct_leae,SAMAR_29853_Ct_leae,SAMAR_31889_Ct_leae,SAMAR_32054_Ct_leae,SAMAR_36086_Ct_leae,SAMAR_38585_Ct_leae,SAMAR_40799_Ct_leae,SAMAR_43880_Ct_leae,SAMAR_45966_Ct_leae,SAMAR_46332_Ct_leae,SAMAR_51431_Ct_leae,SAMAR_52787_Ct_leae,SAMAR_54242_Ct_leae,SAMAR_66522_Ct_leae
CUMV_14467_Ct_leae,NA,0,0,0,709.663300446064,635.077947971743,536.509086595931,756.420517966032,1136.03653110276,587.935370597823,761.927818103526,262.446184959889,742.855302195522,333.707956153281,310.815057550306,758.231494993449,620.070157320928,759.58278021556,299.056850782589
CUMV_14468_Ct_leae,0,NA,0,0,709.663300446064,635.077947971743,536.509086595931,756.420517966032,1136.03653110276,587.935370597823,761.927818103526,262.446184959889,742.855302195522,333.707956153281,310.815057550306,758.231494993449,620.070157320928,759.58278021556,299.056850782589
CUMV_14469_Ct_leae,0,0,NA,0,709.663300446064,635.077947971743,536.509086595931,756.420517966032,1136.03653110276,587.935370597823,761.927818103526,262.446184959889,742.855302195522,333.707956153281,310.815057550306,758.231494993449,620.070157320928,759.58278021556,299.056850782589
CUMV_14470_Ct_leae,0,0,0,NA,709.663300446064,635.077947971743,536.509086595931,756.420517966032,1136.03653110276,587.935370597823,761.927818103526,262.446184959889,742.855302195522,333.707956153281,310.815057550306,758.231494993449,620.070157320928,759.58278021556,299.056850782589
NA_ABTC10512_Ct_leae,709.663300446064,709.663300446064,709.663300446064,709.663300446064,NA,1343.20735554865,1243.60604694574,53.2728824074688,426.784488940261,1295.70289804415,61.8061485614498,450.714987547563,1451.14506511238,1037.39818777555,1012.28750856661,1467.35987405953,1327.76089714978,1467.89713536065,1002.14220547785
SAMAR_24688_Ct_leae,635.077947971743,635.077947971743,635.077947971743,635.077947971743,1343.20735554865,NA,145.622800412573,1388.69291061775,1768.68453942471,113.859562619922,1395.8044275614,892.868411357463,110.190743712891,328.370217894376,334.786499130416,127.283148923964,20.3224014329016,125.880896088326,342.924189872922
SAMAR_29853_Ct_leae,536.509086595931,536.509086595931,536.509086595931,536.509086595931,1243.60604694574,145.622800412573,NA,1291.10417860063,1670.34517390867,53.497663500381,1293.68775212568,796.735840790409,240.445420002129,207.362002305148,270.662151029655,243.797046741752,144.654761414894,254.287239160757,271.368752806951
SAMAR_31889_Ct_leae,756.420517966032,756.420517966032,756.420517966032,756.420517966032,53.2728824074688,1388.69291061775,1291.10417860063,NA,380.038155979107,1343.16045206818,58.258046654518,496.038304972509,1496.52864990952,1085.34372435648,1056.67686640713,1513.25906572536,1373.0291329757,1513.28054239787,1046.88155968094
SAMAR_32054_Ct_leae,1136.03653110276,1136.03653110276,1136.03653110276,1136.03653110276,426.784488940261,1768.68453942471,1670.34517390867,380.038155979107,NA,1722.44854785274,379.044852227279,876.064495342666,1876.42026209482,1464.11543260769,1436.43273424132,1893.17194147811,1752.97632613792,1893.20759559009,1426.79430893174
SAMAR_36086_Ct_leae,587.935370597823,587.935370597823,587.935370597823,587.935370597823,1295.70289804415,113.859562619922,53.497663500381,1343.16045206818,1722.44854785274,NA,1345.96953903125,848.649515406684,194.581602419139,260.005769166763,315.857562834896,194.363062334385,119.134377909989,207.581309370569,318.347294632764
SAMAR_38585_Ct_leae,761.927818103526,761.927818103526,761.927818103526,761.927818103526,61.8061485614498,1395.8044275614,1293.68775212568,58.258046654518,379.044852227279,1345.96953903125,NA,504.265802925402,1504.080449976,1086.93560066823,1066.18666283161,1519.71543388886,1380.67048929134,1520.76625422844,1055.55056723968
SAMAR_40799_Ct_leae,262.446184959889,262.446184959889,262.446184959889,262.446184959889,450.714987547563,892.868411357463,796.735840790409,496.038304972509,876.064495342666,848.649515406684,504.265802925402,NA,1001.02447522526,592.637325857898,562.019572612912,1017.56228310605,877.394438094977,1017.67873123103,551.558700411842
SAMAR_43880_Ct_leae,742.855302195522,742.855302195522,742.855302195522,742.855302195522,1451.14506511238,110.190743712891,240.445420002129,1496.52864990952,1876.42026209482,194.581602419139,1504.080449976,1001.02447522526,NA,435.013792884777,441.581249601928,33.0605505096331,124.350311620036,18,450.807054070808
SAMAR_45966_Ct_leae,333.707956153281,333.707956153281,333.707956153281,333.707956153281,1037.39818777555,328.370217894376,207.362002305148,1085.34372435648,1464.11543260769,260.005769166763,1086.93560066823,592.637325857898,435.013792884777,NA,149.92998365904,444.294947079077,318.113187403478,450.58517507792,136.923336214102
SAMAR_46332_Ct_leae,310.815057550306,310.815057550306,310.815057550306,310.815057550306,1012.28750856661,334.786499130416,270.662151029655,1056.67686640713,1436.43273424132,315.857562834896,1066.18666283161,562.019572612912,441.581249601928,149.92998365904,NA,460.74179319875,318.039305746947,458.185551932839,19.723082923316
SAMAR_51431_Ct_leae,758.231494993449,758.231494993449,758.231494993449,758.231494993449,1467.35987405953,127.283148923964,243.797046741752,1513.25906572536,1893.17194147811,194.363062334385,1519.71543388886,1017.56228310605,33.0605505096331,444.294947079077,460.74179319875,NA,143.909693905588,28.8963665535998,469.022387525372
SAMAR_52787_Ct_leae,620.070157320928,620.070157320928,620.070157320928,620.070157320928,1327.76089714978,20.3224014329016,144.654761414894,1373.0291329757,1752.97632613792,119.134377909989,1380.67048929134,877.394438094977,124.350311620036,318.113187403478,318.039305746947,143.909693905588,NA,140.616499743096,326.821051953512
SAMAR_54242_Ct_leae,759.58278021556,759.58278021556,759.58278021556,759.58278021556,1467.89713536065,125.880896088326,254.287239160757,1513.28054239787,1893.20759559009,207.581309370569,1520.76625422844,1017.67873123103,18,450.58517507792,458.185551932839,28.8963665535998,140.616499743096,NA,467.29540977844
SAMAR_66522_Ct_leae,299.056850782589,299.056850782589,299.056850782589,299.056850782589,1002.14220547785,342.924189872922,271.368752806951,1046.88155968094,1426.79430893174,318.347294632764,1055.55056723968,551.558700411842,450.807054070808,136.923336214102,19.723082923316,469.022387525372,326.821051953512,467.29540977844,NA
