,CUMV_14700_Ct_scho,SAMAR_25378_Ct_scho,SAMAR_26265_Ct_scho,SAMAR_32255_Ct_scho,SAMAR_45530_Ct_scho,UMMZ_242648_Ct_scho,WAMR_077870_Ct_scho,WAMR_100527_Ct_scho,WAMR_102261_Ct_scho,WAMR_151241_Ct_scho,WAMR_151655_Ct_scho
CUMV_14700_Ct_scho,NA,1273.35368184219,1028.96366212568,1061.12684811382,1418.76258613508,536.027721374982,823.74233061685,284.605916789928,627.794396926327,613.742200695482,507.991199472778
SAMAR_25378_Ct_scho,1273.35368184219,NA,300.402644369415,240.035776141555,156.561467996288,1806.42100425415,571.307276690878,1080.28810590641,1829.75019371008,1037.80500890223,1506.66750575835
SAMAR_26265_Ct_scho,1028.96366212568,300.402644369415,NA,262.03685424752,411.588312403075,1551.2871430914,271.334383610712,807.419666368104,1620.65930401179,737.894914629843,1215.18547938138
SAMAR_32255_Ct_scho,1061.12684811382,240.035776141555,262.03685424752,NA,396.52505653028,1597.01522667684,474.340703590748,895.77101294453,1598.11469177659,917.072827376087,1344.64485151963
SAMAR_45530_Ct_scho,1418.76258613508,156.561467996288,411.588312403075,396.52505653028,NA,1949.2406520028,678.320450006801,1214.16668444354,1983.16431284838,1141.41312075909,1626.49210350425
UMMZ_242648_Ct_scho,536.027721374982,1806.42100425415,1551.2871430914,1597.01522667684,1949.2406520028,NA,1323.61648148498,752.313522972817,412.430034567951,990.089473401614,561.94977967988
WAMR_077870_Ct_scho,823.74233061685,571.307276690878,271.334383610712,474.340703590748,678.320450006801,1323.61648148498,NA,571.320175432258,1441.55052998096,466.580906592274,950.402811510438
WAMR_100527_Ct_scho,284.605916789928,1080.28810590641,807.419666368104,895.77101294453,1214.16668444354,752.313522972817,571.320175432258,NA,909.987711097471,339.796559818485,466.894261259692
WAMR_102261_Ct_scho,627.794396926327,1829.75019371008,1620.65930401179,1598.11469177659,1983.16431284838,412.430034567951,1441.55052998096,909.987711097471,NA,1221.47921034353,907.925042028734
WAMR_151241_Ct_scho,613.742200695482,1037.80500890223,737.894914629843,917.072827376087,1141.41312075909,990.089473401614,466.580906592274,339.796559818485,1221.47921034353,NA,514.628185832838
WAMR_151655_Ct_scho,507.991199472778,1506.66750575835,1215.18547938138,1344.64485151963,1626.49210350425,561.94977967988,950.402811510438,466.894261259692,907.925042028734,514.628185832838,NA
