,SAMR_48698_Ct_gran,WAMR_102472_Ct_hele,WAMR_157583_Ct_hanl
SAMR_48698_Ct_gran,NA,586.327553505717,1421.95921179196
WAMR_102472_Ct_hele,586.327553505717,NA,838.596446450854
WAMR_157583_Ct_hanl,1421.95921179196,838.596446450854,NA
