,CUMV_14467_Ct_leae,CUMV_14468_Ct_leae,CUMV_14469_Ct_leae,CUMV_14470_Ct_leae,NA_ABTC10512_Ct_leae,SAMAR_24688_Ct_leae,SAMAR_29853_Ct_leae,SAMAR_31889_Ct_leae,SAMAR_32054_Ct_leae,SAMAR_36086_Ct_leae,SAMAR_38585_Ct_leae,SAMAR_40799_Ct_leae,SAMAR_43880_Ct_leae,SAMAR_45966_Ct_leae,SAMAR_46332_Ct_leae,SAMAR_51431_Ct_leae,SAMAR_52787_Ct_leae,SAMAR_54242_Ct_leae,SAMAR_66522_Ct_leae
CUMV_14467_Ct_leae,NA,0,0,0,204.183949926026,1599.54303991004,841.505818288955,1036.51066666219,846.26058123435,780.13685590014,1414.76794200651,1314.99510242634,1552.47866322905,555.411234875179,1283.0954151749,1374.58452132788,1125.42325433606,1361.15598487136,1377.7229738033
CUMV_14468_Ct_leae,0,NA,0,0,204.183949926026,1599.54303991004,841.505818288955,1036.51066666219,846.26058123435,780.13685590014,1414.76794200651,1314.99510242634,1552.47866322905,555.411234875179,1283.0954151749,1374.58452132788,1125.42325433606,1361.15598487136,1377.7229738033
CUMV_14469_Ct_leae,0,0,NA,0,204.183949926026,1599.54303991004,841.505818288955,1036.51066666219,846.26058123435,780.13685590014,1414.76794200651,1314.99510242634,1552.47866322905,555.411234875179,1283.0954151749,1374.58452132788,1125.42325433606,1361.15598487136,1377.7229738033
CUMV_14470_Ct_leae,0,0,0,NA,204.183949926026,1599.54303991004,841.505818288955,1036.51066666219,846.26058123435,780.13685590014,1414.76794200651,1314.99510242634,1552.47866322905,555.411234875179,1283.0954151749,1374.58452132788,1125.42325433606,1361.15598487136,1377.7229738033
NA_ABTC10512_Ct_leae,204.183949926026,204.183949926026,204.183949926026,204.183949926026,NA,1600.49738443127,934.929813776652,995.988777973034,807.360351975228,887.236238025047,1357.01443095235,1271.87553422133,1582.00786807169,655.95889375099,1268.31376065324,1421.62033223737,1167.90922615878,1378.10520509472,1351.97762855648
SAMAR_24688_Ct_leae,1599.54303991004,1599.54303991004,1599.54303991004,1599.54303991004,1600.49738443127,NA,903.028329892479,640.172196432452,808.0042448973,988.457870225392,479.337584625864,436.258225846842,222.411719338703,1114.91215225263,343.022870755099,392.986631220149,531.360688133627,258.013828914109,303.957613534283
SAMAR_29853_Ct_leae,841.505818288955,841.505818288955,841.505818288955,841.505818288955,934.929813776652,903.028329892479,NA,640.16446543758,562.831286550101,85.6982296939033,961.468885741171,826.94355974734,782.77598482647,286.164165835803,692.772066112197,577.887034645394,371.728105035628,645.257588555309,806.702345156935
SAMAR_31889_Ct_leae,1036.51066666219,1036.51066666219,1036.51066666219,1036.51066666219,995.988777973034,640.172196432452,640.16446543758,NA,190.731937642677,698.343215016908,384.872235961993,278.650762947483,700.57940361805,686.185207002611,297.695714339705,636.641952478067,456.077432994005,485.00376851727,360.281879612846
SAMAR_32054_Ct_leae,846.26058123435,846.26058123435,846.26058123435,846.26058123435,807.360351975228,808.0042448973,562.831286550101,190.731937642677,NA,601.86422858444,570.569549720978,469.346138215659,834.710579679984,537.213462079699,467.268385757433,729.557585077054,502.928515832403,617.709400178312,544.885924764921
SAMAR_36086_Ct_leae,780.13685590014,780.13685590014,780.13685590014,780.13685590014,887.236238025047,988.457870225392,85.6982296939033,698.343215016908,601.86422858444,NA,1033.28224827804,899.555594440436,867.709170186416,231.290016894277,771.554502537935,661.708165053978,457.100740532838,730.595865688087,885.534638478913
SAMAR_38585_Ct_leae,1414.76794200651,1414.76794200651,1414.76794200651,1414.76794200651,1357.01443095235,479.337584625864,961.468885741171,384.872235961993,570.569549720978,1033.28224827804,NA,135.117537646519,652.08448116977,1059.86849092098,303.212774774824,709.473546917891,660.68471612002,503.146988848897,219.587576812748
SAMAR_40799_Ct_leae,1314.99510242634,1314.99510242634,1314.99510242634,1314.99510242634,1271.87553422133,436.258225846842,826.94355974734,278.650762947483,469.346138215659,899.555594440436,135.117537646519,NA,572.863267248571,934.345156895787,179.771938404966,598.8963808434,528.57292362874,397.036446777935,134.523013371774
SAMAR_43880_Ct_leae,1552.47866322905,1552.47866322905,1552.47866322905,1552.47866322905,1582.00786807169,222.411719338703,782.77598482647,700.57940361805,834.710579679984,867.709170186416,652.08448116977,572.863267248571,NA,1029.92393850602,422.153129584293,212.460779088737,430.415552803392,217.607557227615,441.885786823374
SAMAR_45966_Ct_leae,555.411234875179,555.411234875179,555.411234875179,555.411234875179,655.95889375099,1114.91215225263,286.164165835803,686.185207002611,537.213462079699,231.290016894277,1059.86849092098,934.345156895787,1029.92393850602,NA,843.583185072611,837.353280109238,600.198458678125,860.958234081271,953.477146296606
SAMAR_46332_Ct_leae,1283.0954151749,1283.0954151749,1283.0954151749,1283.0954151749,1268.31376065324,343.022870755099,692.772066112197,297.695714339705,467.268385757433,771.554502537935,303.212774774824,179.771938404966,422.153129584293,843.583185072611,NA,421.030822527995,361.984672780731,224.6739407558,113.987394107446
SAMAR_51431_Ct_leae,1374.58452132788,1374.58452132788,1374.58452132788,1374.58452132788,1421.62033223737,392.986631220149,577.887034645394,636.641952478067,729.557585077054,661.708165053978,709.473546917891,598.8963808434,212.460779088737,837.353280109238,421.030822527995,NA,253.858732858375,206.831840205271,490.501815420675
SAMAR_52787_Ct_leae,1125.42325433606,1125.42325433606,1125.42325433606,1125.42325433606,1167.90922615878,531.360688133627,371.728105035628,456.077432994005,502.928515832403,457.100740532838,660.68471612002,528.57292362874,430.415552803392,600.198458678125,361.984672780731,253.858732858375,NA,273.529799664164,469.91376550044
SAMAR_54242_Ct_leae,1361.15598487136,1361.15598487136,1361.15598487136,1361.15598487136,1378.10520509472,258.013828914109,645.257588555309,485.00376851727,617.709400178312,730.595865688087,503.146988848897,397.036446777935,217.607557227615,860.958234081271,224.6739407558,206.831840205271,273.529799664164,NA,283.841546447349
SAMAR_66522_Ct_leae,1377.7229738033,1377.7229738033,1377.7229738033,1377.7229738033,1351.97762855648,303.957613534283,806.702345156935,360.281879612846,544.885924764921,885.534638478913,219.587576812748,134.523013371774,441.885786823374,953.477146296606,113.987394107446,490.501815420675,469.91376550044,283.841546447349,NA
