,SAMAR_34260_Ct_joan,SAMAR_43945_Ct_joan,SAMAR_54020_Ct_joan,SAMR_54024_Ct_joan,SAMR_55275_Ct_joan
SAMAR_34260_Ct_joan,NA,1681.93370856286,718.888725742726,718.888725742726,427.347633666082
SAMAR_43945_Ct_joan,1681.93370856286,NA,2399.198616205,2399.198616205,1257.34203779242
SAMAR_54020_Ct_joan,718.888725742726,2399.198616205,NA,0,1142.02670721836
SAMR_54024_Ct_joan,718.888725742726,2399.198616205,0,NA,1142.02670721836
SAMR_55275_Ct_joan,427.347633666082,1257.34203779242,1142.02670721836,1142.02670721836,NA
