,NTMR_14947_Ct_calu,SAMAR_45381_Ct_calu,SAMAR_48699_Ct_calu,SAMAR_48785_Ct_calu,SAMAR_57213_Ct_calu,SAMR_62029_Ct_calu,WAMR_166440_Ct_calu
NTMR_14947_Ct_calu,NA,687.288640956354,684.915245045862,690.385037765164,859.470699197421,446.173247222905,592.971249306408
SAMAR_45381_Ct_calu,687.288640956354,NA,155.295406692436,160.13100411816,186.808958103639,372.637344833865,318.361486485684
SAMAR_48699_Ct_calu,684.915245045862,155.295406692436,NA,6.9132478512704,201.914672685707,287.837020299269,185.807154741601
SAMAR_48785_Ct_calu,690.385037765164,160.13100411816,6.9132478512704,NA,199.89121962173,290.892030917107,185.787642888997
SAMAR_57213_Ct_calu,859.470699197421,186.808958103639,201.914672685707,199.89121962173,NA,488.693526527208,382.307548097792
SAMR_62029_Ct_calu,446.173247222905,372.637344833865,287.837020299269,290.892030917107,488.693526527208,NA,148.076422818341
WAMR_166440_Ct_calu,592.971249306408,318.361486485684,185.807154741601,185.787642888997,382.307548097792,148.076422818341,NA
