,AMSR_111496_Ct_essi,NA_CCM5043_Ct_essi,NA_CCM5044_Ct_essi,NA_K021_Ct_essi,NA_K073_Ct_essi,NTMR_13717_Ct_essi
AMSR_111496_Ct_essi,NA,109.585333105981,121.224098931859,45.3554636075418,50.9761030301704,109.874351061193
NA_CCM5043_Ct_essi,109.585333105981,NA,11.6387724559802,64.2304412625133,59.6599919741283,15.8987882766345
NA_CCM5044_Ct_essi,121.224098931859,11.6387724559802,NA,75.8692012327769,71.2211341363805,20.217668401011
NA_K021_Ct_essi,45.3554636075418,64.2304412625133,75.8692012327769,NA,8.96756009396266,65.2825619083694
NA_K073_Ct_essi,50.9761030301704,59.6599919741283,71.2211341363805,8.96756009396266,NA,58.8991243733817
NTMR_13717_Ct_essi,109.874351061193,15.8987882766345,20.217668401011,65.2825619083694,58.8991243733817,NA
