,CUMV_14408_Ct_broo,CUMV_14409_Ct_broo,CUMV_14411_Ct_broo,CUMV_14412_Ct_broo,NA_ABTC10487_Ct_broo,NA_ABTC12607_Ct_broo,NA_DLR0549_Ct_broo,SAMAR_26237_Ct_broo,SAMAR_29939_Ct_broo,SAMAR_32029_Ct_broo,SAMAR_45963_Ct_broo,SAMAR_56458_Ct_broo,SAMAR_58943_Ct_broo,SAMAR_65908_Ct_broo
CUMV_14408_Ct_broo,NA,0,0,0,204.183949926026,882.071861788538,0,1042.27246912217,841.505818288955,855.972111176832,555.411234875179,581.387203880816,633.990863192237,1061.78016633191
CUMV_14409_Ct_broo,0,NA,0,0,204.183949926026,882.071861788538,0,1042.27246912217,841.505818288955,855.972111176832,555.411234875179,581.387203880816,633.990863192237,1061.78016633191
CUMV_14411_Ct_broo,0,0,NA,0,204.183949926026,882.071861788538,0,1042.27246912217,841.505818288955,855.972111176832,555.411234875179,581.387203880816,633.990863192237,1061.78016633191
CUMV_14412_Ct_broo,0,0,0,NA,204.183949926026,882.071861788538,0,1042.27246912217,841.505818288955,855.972111176832,555.411234875179,581.387203880816,633.990863192237,1061.78016633191
NA_ABTC10487_Ct_broo,204.183949926026,204.183949926026,204.183949926026,204.183949926026,NA,990.929753551908,204.183949926026,1035.99612917464,934.929813776652,816.541741893326,655.95889375099,658.770476773358,636.768110974761,1159.5670853369
NA_ABTC12607_Ct_broo,882.071861788538,882.071861788538,882.071861788538,882.071861788538,990.929753551908,NA,882.071861788538,583.384433127401,92.7033002822924,659.548346170769,334.99108869792,344.781481958689,515.487803330431,186.099290108887
NA_DLR0549_Ct_broo,0,0,0,0,204.183949926026,882.071861788538,NA,1042.27246912217,841.505818288955,855.972111176832,555.411234875179,581.387203880816,633.990863192237,1061.78016633191
SAMAR_26237_Ct_broo,1042.27246912217,1042.27246912217,1042.27246912217,1042.27246912217,1035.99612917464,583.384433127401,1042.27246912217,NA,502.553953471929,254.344008166653,610.238815789912,537.954377816492,408.582080865599,564.900762752071
SAMAR_29939_Ct_broo,841.505818288955,841.505818288955,841.505818288955,841.505818288955,934.929813776652,92.7033002822924,841.505818288955,502.553953471929,NA,567.164773321902,286.164165835803,277.73252383823,427.21645456327,224.662986567773
SAMAR_32029_Ct_broo,855.972111176832,855.972111176832,855.972111176832,855.972111176832,816.541741893326,659.548346170769,855.972111176832,254.344008166653,567.164773321902,NA,545.334619737248,467.175692066547,252.860193455253,708.846308812094
SAMAR_45963_Ct_broo,555.411234875179,555.411234875179,555.411234875179,555.411234875179,655.95889375099,334.99108869792,555.411234875179,610.238815789912,286.164165835803,545.334619737248,NA,78.324989956327,308.468611564792,508.193679965189
SAMAR_56458_Ct_broo,581.387203880816,581.387203880816,581.387203880816,581.387203880816,658.770476773358,344.781481958689,581.387203880816,537.954377816492,277.73252383823,467.175692066547,78.324989956327,NA,234.100351966107,502.068248051114
SAMAR_58943_Ct_broo,633.990863192237,633.990863192237,633.990863192237,633.990863192237,636.768110974761,515.487803330431,633.990863192237,408.582080865599,427.21645456327,252.860193455253,308.468611564792,234.100351966107,NA,625.441269897896
SAMAR_65908_Ct_broo,1061.78016633191,1061.78016633191,1061.78016633191,1061.78016633191,1159.5670853369,186.099290108887,1061.78016633191,564.900762752071,224.662986567773,708.846308812094,508.193679965189,502.068248051114,625.441269897896,NA
