,NA_ABTC86833_Ct_regi,SAMAR_31877_Ct_regi,SAMAR_32289_Ct_regi,SAMAR_40597_Ct_regi,SAMAR_40888_Ct_regi,SAMAR_48098_Ct_regi,SAMAR_51242_Ct_regi,SAMAR_51421_Ct_regi,SAMAR_53967_Ct_regi,SAMAR_54164_Ct_regi,SAMAR_57181_Ct_regi,SAMAR_57722_Ct_regi,SAMR_36241_Ct_hele,SAMR_47236_Ct_regi,SAMR_48330_Ct_regi,SAMR_55163_Ct_regi
NA_ABTC86833_Ct_regi,NA,0.333333333333333,0.490566037735849,0.444444444444444,0.636363636363636,0.294117647058824,1.82222222222222,1.01754385964912,2.31428571428571,1.26086956521739,0.706896551724138,0.303571428571429,1,0.914893617021277,0.236363636363636,0.140350877192982
SAMAR_31877_Ct_regi,0.333333333333333,NA,0.216216216216216,0.588235294117647,0.583333333333333,0.417910447761194,1.92857142857143,0.866666666666667,1.87234042553192,0.8,0.474358974358974,0.457142857142857,0.984126984126984,0.636363636363636,0.152777777777778,0.230769230769231
SAMAR_32289_Ct_regi,0.490566037735849,0.216216216216216,NA,0.442857142857143,0.540983606557377,0.276923076923077,1.61016949152542,0.684931506849315,1.625,0.796610169491525,0.217948717948718,0.222222222222222,0.703125,0.549019607843137,0.232876712328767,0.113924050632911
SAMAR_40597_Ct_regi,0.444444444444444,0.588235294117647,0.442857142857143,NA,0.586666666666667,0.181818181818182,2.01724137931035,0.577777777777778,2.30232558139535,0.830769230769231,0.344086021505376,0.309523809523809,0.77027027027027,0.882352941176471,0.314285714285714,0.21505376344086
SAMAR_40888_Ct_regi,0.636363636363636,0.583333333333333,0.540983606557377,0.586666666666667,NA,0.555555555555556,2.29166666666667,1.05405405405405,2.62162162162162,1.24489795918367,0.506493506493507,0.869565217391304,1.12903225806452,1.17777777777778,0.349206349206349,0.126582278481013
SAMAR_48098_Ct_regi,0.294117647058824,0.417910447761194,0.276923076923077,0.181818181818182,0.555555555555556,NA,2.13207547169811,1.02469135802469,2.27906976744186,0.983333333333333,0.337209302325581,0.432432432432432,1.08823529411765,0.98,0.119402985074627,0.036144578313253
SAMAR_51242_Ct_regi,1.82222222222222,1.92857142857143,1.61016949152542,2.01724137931035,2.29166666666667,2.13207547169811,NA,1.38709677419355,0.756756756756757,1.33928571428571,1.76923076923077,1.78333333333333,2.03846153846154,1.20408163265306,1.98181818181818,1.56716417910448
SAMAR_51421_Ct_regi,1.01754385964912,0.866666666666667,0.684931506849315,0.577777777777778,1.05405405405405,1.02469135802469,1.38709677419355,NA,1.63829787234043,0.123076923076923,0.8,0.717647058823529,1.09210526315789,0.233333333333333,0.915492957746479,0.71875
SAMAR_53967_Ct_regi,2.31428571428571,1.87234042553192,1.625,2.30232558139535,2.62162162162162,2.27906976744186,0.756756756756757,1.63829787234043,NA,1.825,2.12244897959184,1.85416666666667,2.31578947368421,1.37837837837838,1.83333333333333,1.48275862068966
SAMAR_54164_Ct_regi,1.26086956521739,0.8,0.796610169491525,0.830769230769231,1.24489795918367,0.983333333333333,1.33928571428571,0.123076923076923,1.825,NA,0.82089552238806,0.746031746031746,1.125,0.36,0.721311475409836,0.732394366197183
SAMAR_57181_Ct_regi,0.706896551724138,0.474358974358974,0.217948717948718,0.344086021505376,0.506493506493507,0.337209302325581,1.76923076923077,0.8,2.12244897959184,0.82089552238806,NA,0.32967032967033,0.938271604938272,0.803571428571428,0.25,0.222222222222222
SAMAR_57722_Ct_regi,0.303571428571429,0.457142857142857,0.222222222222222,0.309523809523809,0.869565217391304,0.432432432432432,1.78333333333333,0.717647058823529,1.85416666666667,0.746031746031746,0.32967032967033,NA,1.11267605633803,0.559322033898305,0.223684210526316,0.25
SAMR_36241_Ct_hele,1,0.984126984126984,0.703125,0.77027027027027,1.12903225806452,1.08823529411765,2.03846153846154,1.09210526315789,2.31578947368421,1.125,0.938271604938272,1.11267605633803,NA,1.06122448979592,0.761904761904762,0.62962962962963
SAMR_47236_Ct_regi,0.914893617021277,0.636363636363636,0.549019607843137,0.882352941176471,1.17777777777778,0.98,1.20408163265306,0.233333333333333,1.37837837837838,0.36,0.803571428571428,0.559322033898305,1.06122448979592,NA,0.612903225806452,0.646153846153846
SAMR_48330_Ct_regi,0.236363636363636,0.152777777777778,0.232876712328767,0.314285714285714,0.349206349206349,0.119402985074627,1.98181818181818,0.915492957746479,1.83333333333333,0.721311475409836,0.25,0.223684210526316,0.761904761904762,0.612903225806452,NA,-0.0465116279069767
SAMR_55163_Ct_regi,0.140350877192982,0.230769230769231,0.113924050632911,0.21505376344086,0.126582278481013,0.036144578313253,1.56716417910448,0.71875,1.48275862068966,0.732394366197183,0.222222222222222,0.25,0.62962962962963,0.646153846153846,-0.0465116279069767,NA
