,NA_ABTC113741_Ct_saxa,NA_CCM0090_Ct_late,SAMAR_34261_Ct_late,SAMAR_42687_Ct_late,SAMAR_42768_Ct_late,SAMAR_54433_Ct_late,SAMAR_54463_Ct_late,SAMAR_55259_Ct_late,SAMAR_55799_Ct_late,SAMR_42758_Ct_late,SAMR_54340_Ct_late,SAMR_54434_Ct_late,SAMR_65407_Ct_late,SAMR_65416_Ct_late
NA_ABTC113741_Ct_saxa,NA,541.916531844098,325.713530535079,188.249667904498,318.98281104157,334.936605650522,355.019417057858,55.1852156237564,687.303472845881,317.671480145033,179.224000258819,334.905271070216,375.246164132596,393.410196089619
NA_CCM0090_Ct_late,541.916531844098,NA,563.134297861678,455.381100385559,464.079638332809,339.19457037049,324.741398317916,492.739464253497,150.573236733861,430.576767363845,436.804898495747,339.203556093005,588.706151721876,591.538726564276
SAMAR_34261_Ct_late,325.713530535079,563.134297861678,NA,169.516646561268,595.913468035353,224.457960098661,241.15582183376,294.016819608065,708.350713911716,580.961726035339,193.950969131754,224.446386329273,683.157392312646,699.688478266486
SAMAR_42687_Ct_late,188.249667904498,455.381100385559,169.516646561268,NA,426.874379888777,163.60575201317,185.569531954444,141.761893079146,605.857554388155,411.463795426198,25.3500843691572,163.576223622979,518.47994289333,534.361729906557
SAMAR_42768_Ct_late,318.98281104157,464.079638332809,595.913468035353,426.874379888777,NA,483.840463320752,493.112185957617,318.252558352253,567.581112140379,33.5059181078287,403.417857257002,483.816700310805,126.809179922319,133.66033873017
SAMAR_54433_Ct_late,334.936605650522,339.19457037049,224.457960098661,163.60575201317,483.840463320752,NA,22.0743868583659,280.997826372492,483.910455462638,459.143527116294,160.592212914094,0.0313352181223988,597.119026754833,609.785948148695
SAMAR_54463_Ct_late,355.019417057858,324.741398317916,241.15582183376,185.569531954444,493.112185957617,22.0743868583659,NA,300.754713714601,467.68238725388,467.473428333057,182.002407453391,22.10263539613,608.371548195583,620.583127600525
SAMAR_55259_Ct_late,55.1852156237564,492.739464253497,294.016819608065,141.761893079146,318.252558352253,280.997826372492,300.754713714601,NA,639.754731854139,311.155875449923,128.923572781117,280.966506851913,391.543755392547,408.75276801037
SAMAR_55799_Ct_late,687.303472845881,150.573236733861,708.350713911716,605.857554388155,567.581112140379,483.910455462638,467.68238725388,639.754731854139,NA,534.9854426122,587.377745355848,483.92247289557,685.179165904782,684.497330841454
SAMR_42758_Ct_late,317.671480145033,430.576767363845,580.961726035339,411.463795426198,33.5059181078287,459.143527116294,467.473428333057,311.155875449923,534.9854426122,NA,387.370573104458,459.120773512115,159.804205129946,165.683849168993
SAMR_54340_Ct_late,179.224000258819,436.804898495747,193.950969131754,25.3500843691572,403.417857257002,160.592212914094,182.002407453391,128.923572781117,587.377745355848,387.370573104458,NA,160.561416860563,497.245726097136,512.841892226302
SAMR_54434_Ct_late,334.905271070216,339.203556093005,224.446386329273,163.576223622979,483.816700310805,0.0313352181223988,22.10263539613,280.966506851913,483.92247289557,459.120773512115,160.561416860563,NA,597.093232122124,609.760582364652
SAMR_65407_Ct_late,375.246164132596,588.706151721876,683.157392312646,518.47994289333,126.809179922319,597.119026754833,608.371548195583,391.543755392547,685.179165904782,159.804205129946,497.245726097136,597.093232122124,NA,19.0876104090192
SAMR_65416_Ct_late,393.410196089619,591.538726564276,699.688478266486,534.361729906557,133.66033873017,609.785948148695,620.583127600525,408.75276801037,684.497330841454,165.683849168993,512.841892226302,609.760582364652,19.0876104090192,NA
