,CUMV_14591_Ct_hele,CUMV_14596_Ct_hele,CUMV_14601_Ct_hele,CUMV_14602_Ct_hele,CUMV_14604_Ct_hele,CUMV_14606_Ct_hele,CUMV_14611_Ct_hele,CUMV_14612_Ct_hele,CUMV_14656_Ct_hele,NA_ABTC31797_Ct_saxa,NA_ABTC60781_Ct_hele,NA_CCM0848_Ct_inor,NA_CCM1249_Ct_inor,NA_CCM1444_Ct_inor,NA_CCM1445_Ct_inor,NA_CCM1530_Ct_robu,NA_CCM1580_Ct_inor,NA_CCM1710_Ct_inor,NA_CCM4920_Ct_essi,SAMR_29707_Ct_brac,SAMR_36252_Ct_brac,SAMR_36349_Ct_brac,SAMR_44367_Ct_hele,SAMR_45480_Ct_saxa,SAMR_46119_Ct_hele,SAMR_46880_Ct_saxa,SAMR_48710_Ct_hele,SAMR_50208_Ct_saxa,UMMZ_242614_Ct_hele,UMMZ_242616_Ct_hele,UMMZ_242623_Ct_hele,UMMZ_244288_ct_inor,WAMR_094929_Ct_hele,WAMR_102423_Ct_saxa,WAMR_102771_Ct_hele,WAMR_126017_Ct_inor,WAMR_129923_Ct_hele,WAMR_131009_Ct_hele,WAMR_131018_Ct_fall,WAMR_131371_Ct_hele,WAMR_135396_Ct_hele,WAMR_140720_Ct_hele,WAMR_145567_Ct_hele,WAMR_152991_Ct_seve,WAMR_166390_Ct_hele,WAMR_166391_Ct_hele
CUMV_14591_Ct_hele,NA,0.173913043478261,0.379310344827586,0.191780821917808,0.229508196721311,0.322033898305085,0.3375,0.287878787878788,0.451612903225806,0.656716417910448,0.634146341463415,2.23684210526316,1.69090909090909,1.53703703703704,1.28333333333333,2.0625,1.74074074074074,1.31147540983607,1.72916666666667,2.07692307692308,2.45454545454545,2.25,0.676923076923077,0.555555555555556,0.643835616438356,0.65,0.486486486486486,0.675,0.735294117647059,0.481927710843373,0.325301204819277,1.68085106382979,0.579710144927536,1.24,0.466666666666667,1.28787878787879,0.90566037735849,1.30612244897959,1.5952380952381,1.375,0.825396825396825,1,0.85,1.62790697674419,0.513157894736842,0.351851851851852
CUMV_14596_Ct_hele,0.173913043478261,NA,0.015625,0.08,0.25,0.242424242424242,0.120481927710843,0.106060606060606,0.140845070422535,0.328358208955224,0.297297297297297,1.54761904761905,1.03389830508475,1.14035087719298,0.887096774193548,1.20689655172414,1.0655737704918,0.919354838709678,1.02127659574468,1,1.6,1.03333333333333,0.34375,0.238095238095238,0.22972972972973,0.266666666666667,0.242857142857143,-0.0810810810810811,0.409090909090909,0.0789473684210526,0.0641025641025641,0.634615384615385,0.26865671641791,0.509090909090909,0.125,0.865671641791045,0.26530612244898,0.462962962962963,0.565217391304348,0.58,0.349206349206349,0.4,0.246153846153846,0.673913043478261,0.205479452054795,0.0681818181818182
CUMV_14601_Ct_hele,0.379310344827586,0.015625,NA,0.101449275362319,0.307692307692308,0.473684210526316,0.306666666666667,0.241379310344828,0.433333333333333,0.654545454545454,0.666666666666667,2.59375,1.46,1.48,1.21052631578947,1.70212765957447,1.40384615384615,1.28813559322034,1.80487804878049,1.81818181818182,2.16666666666667,1.63636363636364,0.745454545454545,0.305084745762712,0.390625,0.75,0.417910447761194,0.648648648648649,0.596774193548387,0.36,0.266666666666667,1.09090909090909,0.672413793103448,1.13333333333333,0.333333333333333,1.18032786885246,0.659090909090909,0.833333333333333,1.18421052631579,0.979166666666667,0.642857142857143,0.836363636363636,0.811320754716981,1.36111111111111,0.449275362318841,0.1
CUMV_14602_Ct_hele,0.191780821917808,0.08,0.101449275362319,NA,0.112676056338028,0.114285714285714,0.141304347826087,0.216216216216216,0.233766233766234,0.386666666666667,0.358490566037736,1.44897959183673,1.2,0.984375,0.902777777777778,1.3015873015873,1.23529411764706,1.07042253521127,1.49122807017544,0.925,1.45454545454545,1.19444444444444,0.350649350649351,0.293333333333333,0.25,0.342465753424658,0.25,0.462962962962963,0.435897435897436,0.242105263157895,0.2,0.931034482758621,0.3625,0.966101694915254,0.215909090909091,0.923076923076923,0.693548387096774,0.721311475409836,1,1.10909090909091,0.685714285714286,0.742857142857143,0.652777777777778,1.28571428571429,0.264367816091954,0.142857142857143
CUMV_14604_Ct_hele,0.229508196721311,0.25,0.307692307692308,0.112676056338028,NA,0.389830508474576,0.215189873417722,0.241935483870968,0.517857142857143,0.523809523809524,0.609756097560976,2.29032258064516,1.7037037037037,1.5625,1.45454545454545,1.91666666666667,1.80769230769231,1.48275862068966,1.77083333333333,1.37931034482759,2.125,1.84,0.593220338983051,0.383333333333333,0.492063492063492,0.781818181818182,0.388059701492537,0.581395348837209,0.590909090909091,0.493150684931507,0.333333333333333,1.26666666666667,0.779661016949153,0.8125,0.309859154929577,1.30769230769231,0.745098039215686,0.897959183673469,1.17948717948718,0.934782608695652,0.758620689655172,0.842105263157895,0.693548387096774,1.16666666666667,0.428571428571429,0.470588235294118
CUMV_14606_Ct_hele,0.322033898305085,0.242424242424242,0.473684210526316,0.114285714285714,0.389830508474576,NA,0.210526315789474,0.35,0.216666666666667,0.315789473684211,0.230769230769231,2.02564102564103,1.32727272727273,1.39622641509434,1.015625,1.81632653061224,1.38888888888889,0.951612903225806,1.52173913043478,0.833333333333333,1.36363636363636,0.931034482758621,0.473684210526316,0.293103448275862,0.292307692307692,0.482142857142857,0.338235294117647,0.405405405405405,0.524590163934426,0.287671232876712,0.168831168831169,1.32558139534884,0.359375,1.10869565217391,0.323529411764706,1,0.547169811320755,0.804347826086957,1.09756097560976,1.1063829787234,0.758620689655172,0.655172413793103,0.596491228070175,1.28571428571429,0.357142857142857,0.0851063829787234
CUMV_14611_Ct_hele,0.3375,0.120481927710843,0.306666666666667,0.141304347826087,0.215189873417722,0.210526315789474,NA,0.291139240506329,0.24390243902439,0.518987341772152,0.448979591836735,1.46153846153846,1.15068493150685,1.21212121212121,1.01333333333333,1.49230769230769,1.28169014084507,1.09859154929577,0.96875,1,1.4375,1.47058823529412,0.234567901234568,0.205128205128205,0.215909090909091,0.492957746478873,0.376470588235294,0.274509803921569,0.265060240963855,0.295918367346939,0.208791208791209,0.746031746031746,0.27710843373494,0.590909090909091,0.252747252747253,0.797619047619048,0.507462686567164,0.46969696969697,0.6,0.746031746031746,0.41025641025641,0.539473684210526,0.278481012658228,0.894736842105263,0.415730337078652,0.171875
CUMV_14612_Ct_hele,0.287878787878788,0.106060606060606,0.241379310344828,0.216216216216216,0.241935483870968,0.35,0.291139240506329,NA,0.390625,0.441860465116279,0.69047619047619,2.15789473684211,1.40677966101695,1.36842105263158,1.34375,1.87755102040816,1.65454545454545,1.44262295081967,1.78,1.48275862068966,2.16666666666667,1.82758620689655,0.567567567567568,0.313253012048193,0.344827586206897,0.642857142857143,0.264367816091954,0.354166666666667,0.579710144927536,0.329411764705882,0.209876543209877,1.28571428571429,0.452380952380952,0.934426229508197,0.325842696629214,1.24691358024691,0.585714285714286,0.828571428571429,1.37777777777778,1.15,0.61038961038961,0.698630136986301,0.525,1.08695652173913,0.311111111111111,0.157894736842105
CUMV_14656_Ct_hele,0.451612903225806,0.140845070422535,0.433333333333333,0.233766233766234,0.517857142857143,0.216666666666667,0.24390243902439,0.390625,NA,0.420289855072464,0.3,1.48936170212766,1.16129032258065,1.36206896551724,1.03076923076923,1.60377358490566,1.22222222222222,1,1.48936170212766,1.32,1.85,1.38461538461538,0.5,0.467741935483871,0.352112676056338,0.709090909090909,0.347826086956522,0.4,0.558823529411765,0.432098765432099,0.192771084337349,1.32,0.382352941176471,1,0.263157894736842,0.955882352941177,0.566037735849057,0.941176470588235,1.43181818181818,0.96078431372549,0.622950819672131,0.754098360655738,0.555555555555556,1.2093023255814,0.311688311688312,0.170212765957447
NA_ABTC31797_Ct_saxa,0.656716417910448,0.328358208955224,0.654545454545454,0.386666666666667,0.523809523809524,0.315789473684211,0.518987341772152,0.441860465116279,0.420289855072464,NA,0.638297872340426,2.27777777777778,1.12698412698413,1.52,1.13333333333333,1.75,1.55555555555556,1.17741935483871,1.72340425531915,0.5625,0.916666666666667,0.742857142857143,0.329411764705882,0.294117647058824,0.195652173913043,0.131578947368421,0.393258426966292,0.468085106382979,0.465753424657534,0.247191011235955,0.394736842105263,1.18032786885246,0.406593406593407,1.16666666666667,0.319587628865979,0.807228915662651,0.52112676056338,0.728571428571428,1.26,1.16666666666667,0.609756097560976,0.828947368421053,0.534090909090909,1.56521739130435,0.382978723404255,-0.0163934426229508
