,CUMV_14467_Ct_leae,CUMV_14468_Ct_leae,CUMV_14469_Ct_leae,CUMV_14470_Ct_leae,NA_ABTC10512_Ct_leae,SAMAR_24688_Ct_leae,SAMAR_29853_Ct_leae,SAMAR_31889_Ct_leae,SAMAR_32054_Ct_leae,SAMAR_36086_Ct_leae,SAMAR_38585_Ct_leae,SAMAR_40799_Ct_leae,SAMAR_43880_Ct_leae,SAMAR_45966_Ct_leae,SAMAR_46332_Ct_leae,SAMAR_51431_Ct_leae,SAMAR_52787_Ct_leae,SAMAR_54242_Ct_leae,SAMAR_66522_Ct_leae
CUMV_14467_Ct_leae,NA,0.272727272727273,0.160377358490566,0.306930693069307,0.431372549019608,1.14285714285714,0.234042553191489,0.189189189189189,0.302083333333333,0.0630630630630631,0.630434782608696,0.715909090909091,1.15189873417722,0.378947368421053,0.446808510638298,0.916666666666667,0.474747474747475,0.786516853932584,0.515463917525773
CUMV_14468_Ct_leae,0.272727272727273,NA,0.0978260869565217,0.268292682926829,0.450549450549451,1.27536231884058,0.531645569620253,0.36,0.482758620689655,0.326530612244898,0.779220779220779,0.776315789473684,1.28571428571429,0.607142857142857,0.506329113924051,1.17333333333333,0.627906976744186,0.869047619047619,0.701298701298701
CUMV_14469_Ct_leae,0.160377358490566,0.0978260869565217,NA,0.260869565217391,0.336734693877551,1.29166666666667,0.4,0.336448598130841,0.406593406593407,0.145454545454545,0.890243902439024,0.780487804878049,1.36986301369863,0.408602150537634,0.620689655172414,0.843373493975903,0.463157894736842,0.824175824175824,0.666666666666667
CUMV_14470_Ct_leae,0.306930693069307,0.268292682926829,0.260869565217391,NA,0.455555555555556,1.55882352941176,0.512820512820513,0.464646464646465,0.445783132530121,0.39,0.815217391304348,0.872093023255814,1.60606060606061,0.662650602409639,0.784810126582278,0.988095238095238,0.540816326530612,0.747474747474748,0.8
NA_ABTC10512_Ct_leae,0.431372549019608,0.450549450549451,0.336734693877551,0.455555555555556,NA,1.42253521126761,0.481927710843373,0.295238095238095,0.550561797752809,0.4,0.878048780487805,0.938271604938272,1.56164383561644,0.461538461538462,0.686746987951807,1.22077922077922,0.630434782608696,0.875,0.914634146341463
SAMAR_24688_Ct_leae,1.14285714285714,1.27536231884058,1.29166666666667,1.55882352941176,1.42253521126761,NA,1.36206896551724,1.02631578947368,1.28787878787879,0.924050632911392,1.57627118644068,1.33870967741935,0.679245283018868,1.60606060606061,1.4,1.27868852459016,1.48484848484848,0.972222222222222,1.203125
SAMAR_29853_Ct_leae,0.234042553191489,0.531645569620253,0.4,0.512820512820513,0.481927710843373,1.36206896551724,NA,0.295454545454545,0.367088607594937,0.125,1.10144927536232,1.05714285714286,1.2741935483871,0.324675324675325,0.698630136986301,1.11594202898551,0.556962025316456,0.875,0.905405405405405
SAMAR_31889_Ct_leae,0.189189189189189,0.36,0.336448598130841,0.464646464646465,0.295238095238095,1.02631578947368,0.295454545454545,NA,0.19,0.0884955752212389,0.888888888888889,0.769230769230769,1,0.28,0.478723404255319,0.813186813186813,0.382352941176471,0.656565656565657,0.583333333333333
SAMAR_32054_Ct_leae,0.302083333333333,0.482758620689655,0.406593406593407,0.445783132530121,0.550561797752809,1.28787878787879,0.367088607594937,0.19,NA,0.202020202020202,0.935064935064935,0.973684210526316,1.23880597014925,0.518518518518519,0.75,1.08219178082192,0.654761904761905,0.811764705882353,0.6625
SAMAR_36086_Ct_leae,0.0630630630630631,0.326530612244898,0.145454545454545,0.39,0.4,0.924050632911392,0.125,0.0884955752212389,0.202020202020202,NA,0.817204301075269,0.822222222222222,0.925,0.205882352941176,0.585106382978723,0.74468085106383,0.44,0.643564356435643,0.705263157894737
SAMAR_38585_Ct_leae,0.630434782608696,0.779220779220779,0.890243902439024,0.815217391304348,0.878048780487805,1.57627118644068,1.10144927536232,0.888888888888889,0.935064935064935,0.817204301075269,NA,0.48,2,1,0.506666666666667,1.45833333333333,0.953488372093023,1.02247191011236,0.246753246753247
SAMAR_40799_Ct_leae,0.715909090909091,0.776315789473684,0.780487804878049,0.872093023255814,0.938271604938272,1.33870967741935,1.05714285714286,0.769230769230769,0.973684210526316,0.822222222222222,0.48,NA,1.61904761904762,0.884615384615385,0.45945945945946,1.49295774647887,1.0253164556962,0.988505747126437,0.460526315789474
SAMAR_43880_Ct_leae,1.15189873417722,1.28571428571429,1.36986301369863,1.60606060606061,1.56164383561644,0.679245283018868,1.2741935483871,1,1.23880597014925,0.925,2,1.61904761904762,NA,1.57352941176471,1.79310344827586,0.982456140350877,1.40579710144928,0.76,1.51515151515152
SAMAR_45966_Ct_leae,0.378947368421053,0.607142857142857,0.408602150537634,0.662650602409639,0.461538461538462,1.60606060606061,0.324675324675325,0.28,0.518518518518519,0.205882352941176,1,0.884615384615385,1.57352941176471,NA,0.946666666666667,1.14666666666667,0.595238095238095,0.931034482758621,0.857142857142857
SAMAR_46332_Ct_leae,0.446808510638298,0.506329113924051,0.620689655172414,0.784810126582278,0.686746987951807,1.4,0.698630136986301,0.478723404255319,0.75,0.585106382978723,0.506666666666667,0.45945945945946,1.79310344827586,0.946666666666667,NA,1.45070422535211,1.03947368421053,1.09756097560976,0.386666666666667
SAMAR_51431_Ct_leae,0.916666666666667,1.17333333333333,0.843373493975903,0.988095238095238,1.22077922077922,1.27868852459016,1.11594202898551,0.813186813186813,1.08219178082192,0.74468085106383,1.45833333333333,1.49295774647887,0.982456140350877,1.14666666666667,1.45070422535211,NA,0.916666666666667,0.229885057471264,1.43055555555556
SAMAR_52787_Ct_leae,0.474747474747475,0.627906976744186,0.463157894736842,0.540816326530612,0.630434782608696,1.48484848484848,0.556962025316456,0.382352941176471,0.654761904761905,0.44,0.953488372093023,1.0253164556962,1.40579710144928,0.595238095238095,1.03947368421053,0.916666666666667,NA,0.565656565656566,1
SAMAR_54242_Ct_leae,0.786516853932584,0.869047619047619,0.824175824175824,0.747474747474748,0.875,0.972222222222222,0.875,0.656565656565657,0.811764705882353,0.643564356435643,1.02247191011236,0.988505747126437,0.76,0.931034482758621,1.09756097560976,0.229885057471264,0.565656565656566,NA,1.02409638554217
SAMAR_66522_Ct_leae,0.515463917525773,0.701298701298701,0.666666666666667,0.8,0.914634146341463,1.203125,0.905405405405405,0.583333333333333,0.6625,0.705263157894737,0.246753246753247,0.460526315789474,1.51515151515152,0.857142857142857,0.386666666666667,1.43055555555556,1,1.02409638554217,NA
