,SAMAR_42675_Ct_pulc,SAMAR_42701_Ct_pulc,SAMAR_42708_Ct_pulc,SAMR_42708_Ct_pulc,SAMR_42772_Ct_pulc
SAMAR_42675_Ct_pulc,NA,0.519230769230769,0.480769230769231,0.42,1.41379310344828
SAMAR_42701_Ct_pulc,0.519230769230769,NA,0.351851851851852,0.358490566037736,1.06060606060606
SAMAR_42708_Ct_pulc,0.480769230769231,0.351851851851852,NA,-0.5,1.05714285714286
SAMR_42708_Ct_pulc,0.42,0.358490566037736,-0.5,NA,1.06060606060606
SAMR_42772_Ct_pulc,1.41379310344828,1.06060606060606,1.05714285714286,1.06060606060606,NA
