,NA_CCM1006_Ct_ehma,NA_CCM1013_Ct_ehma,NA_CCM1424_Ct_ehma,NA_CCM1425_Ct_ehma
NA_CCM1006_Ct_ehma,NA,0,404.702359765791,406.350833640095
NA_CCM1013_Ct_ehma,0,NA,404.702359765791,406.350833640095
NA_CCM1424_Ct_ehma,404.702359765791,404.702359765791,NA,2.23606797749979
NA_CCM1425_Ct_ehma,406.350833640095,406.350833640095,2.23606797749979,NA
