,CUMV_14700_Ct_scho,SAMAR_25378_Ct_scho,SAMAR_26265_Ct_scho,SAMAR_32255_Ct_scho,SAMAR_45530_Ct_scho,UMMZ_242648_Ct_scho,WAMR_077870_Ct_scho,WAMR_100527_Ct_scho,WAMR_102261_Ct_scho,WAMR_151241_Ct_scho,WAMR_151655_Ct_scho
CUMV_14700_Ct_scho,NA,0.955882352941177,0.852941176470588,0.964285714285714,1.02985074626866,0.4375,1.125,0.8,0.292307692307692,0.711111111111111,0.639344262295082
SAMAR_25378_Ct_scho,0.955882352941177,NA,0.292307692307692,0.181818181818182,0.304347826086957,1.125,0.475,0.448275862068966,1.31666666666667,0.261904761904762,0.946428571428571
SAMAR_26265_Ct_scho,0.852941176470588,0.292307692307692,NA,0.26,0.119402985074627,0.932203389830508,0.195121951219512,0.241935483870968,1.22950819672131,0.0204081632653061,0.873015873015873
SAMAR_32255_Ct_scho,0.964285714285714,0.181818181818182,0.26,NA,0.320754716981132,1.3125,0.27027027027027,0.416666666666667,1.75,0.195121951219512,1.3695652173913
SAMAR_45530_Ct_scho,1.02985074626866,0.304347826086957,0.119402985074627,0.320754716981132,NA,1.15,0.25531914893617,0.322033898305085,1.59649122807018,0.239130434782609,1.12727272727273
UMMZ_242648_Ct_scho,0.4375,1.125,0.932203389830508,1.3125,1.15,NA,1.55882352941176,0.96078431372549,0.641509433962264,1.13157894736842,0.557692307692308
WAMR_077870_Ct_scho,1.125,0.475,0.195121951219512,0.27027027027027,0.25531914893617,1.55882352941176,NA,0.195121951219512,1.47222222222222,0.111111111111111,1.25714285714286
WAMR_100527_Ct_scho,0.8,0.448275862068966,0.241935483870968,0.416666666666667,0.322033898305085,0.96078431372549,0.195121951219512,NA,0.932203389830508,0.0454545454545454,0.859649122807018
WAMR_102261_Ct_scho,0.292307692307692,1.31666666666667,1.22950819672131,1.75,1.59649122807018,0.641509433962264,1.47222222222222,0.932203389830508,NA,1.2093023255814,0.824561403508772
WAMR_151241_Ct_scho,0.711111111111111,0.261904761904762,0.0204081632653061,0.195121951219512,0.239130434782609,1.13157894736842,0.111111111111111,0.0454545454545454,1.2093023255814,NA,0.857142857142857
WAMR_151655_Ct_scho,0.639344262295082,0.946428571428571,0.873015873015873,1.3695652173913,1.12727272727273,0.557692307692308,1.25714285714286,0.859649122807018,0.824561403508772,0.857142857142857,NA
