,NA_ABTC113897_Ct_hebe,SAMAR_42776_Ct_hebe,SAMAR_42788_Ct_hebe,SAMAR_42880_Ct_hebe,SAMAR_55677_Ct_hebe,SAMR_55678_Ct_hebe,SAMR_65346_Ct_hebe,SAMR_65347_Ct_hebe,SAMR_65379_Ct_hebe,SAMR_65380_Ct_hebe
NA_ABTC113897_Ct_hebe,NA,1.4,2.23333333333333,0.386363636363636,4.52631578947368,4.26315789473684,1.81012658227848,1.65277777777778,0.0652173913043478,0.153846153846154
SAMAR_42776_Ct_hebe,1.4,NA,1.6,1.56756756756757,6.21428571428571,5.96666666666667,2,1.80882352941176,1.29545454545455,1.55813953488372
SAMAR_42788_Ct_hebe,2.23333333333333,1.6,NA,2.48148148148148,7.78260869565217,9.15,2.45901639344262,2.15,1.9375,2
SAMAR_42880_Ct_hebe,0.386363636363636,1.56756756756757,2.48148148148148,NA,4.44444444444444,4.41666666666667,1.85333333333333,1.81428571428571,0.148936170212766,0.215686274509804
SAMAR_55677_Ct_hebe,4.52631578947368,6.21428571428571,7.78260869565217,4.44444444444444,NA,-0.0967741935483871,2.1044776119403,2.26865671641791,4.05405405405405,3.97560975609756
SAMR_55678_Ct_hebe,4.26315789473684,5.96666666666667,9.15,4.41666666666667,-0.0967741935483871,NA,1.875,2.22222222222222,3.675,4
SAMR_65346_Ct_hebe,1.81012658227848,2,2.45901639344262,1.85333333333333,2.1044776119403,1.875,NA,0.194690265486726,1.59493670886076,1.54651162790698
SAMR_65347_Ct_hebe,1.65277777777778,1.80882352941176,2.15,1.81428571428571,2.26865671641791,2.22222222222222,0.194690265486726,NA,1.36363636363636,1.52439024390244
SAMR_65379_Ct_hebe,0.0652173913043478,1.29545454545455,1.9375,0.148936170212766,4.05405405405405,3.675,1.59493670886076,1.36363636363636,NA,0
SAMR_65380_Ct_hebe,0.153846153846154,1.55813953488372,2,0.215686274509804,3.97560975609756,4,1.54651162790698,1.52439024390244,0,NA
