,SAMAR_34260_Ct_joan,SAMAR_43945_Ct_joan,SAMAR_54020_Ct_joan,SAMR_54024_Ct_joan,SAMR_55275_Ct_joan
SAMAR_34260_Ct_joan,NA,0.517857142857143,0.490909090909091,0.611111111111111,0.886363636363636
SAMAR_43945_Ct_joan,0.517857142857143,NA,0.508474576271186,0.39344262295082,0.358490566037736
SAMAR_54020_Ct_joan,0.490909090909091,0.508474576271186,NA,0.169491525423729,0.875
SAMR_54024_Ct_joan,0.611111111111111,0.39344262295082,0.169491525423729,NA,0.843137254901961
SAMR_55275_Ct_joan,0.886363636363636,0.358490566037736,0.875,0.843137254901961,NA
