,SAMAR_34260_Ct_joan,SAMAR_43945_Ct_joan,SAMAR_54020_Ct_joan,SAMR_54024_Ct_joan,SAMR_55275_Ct_joan
SAMAR_34260_Ct_joan,NA,798.952688147486,189.111478340637,189.130115773,371.653639122356
SAMAR_43945_Ct_joan,798.952688147486,NA,979.457790637145,979.480189517834,590.608519848452
SAMAR_54020_Ct_joan,189.111478340637,979.457790637145,NA,0.0249055548480632,549.146374761053
SAMR_54024_Ct_joan,189.130115773,979.480189517834,0.0249055548480632,NA,549.159568096872
SAMR_55275_Ct_joan,371.653639122356,590.608519848452,549.146374761053,549.159568096872,NA
