,CUMV_1450314572_Ct_pant,CUMV_14516_Ct_pant,CUMV_14517_Ct_pant,CUMV_14525_Ct_pant,CUMV_14526_Ct_pant,CUMV_14527_Ct_pant,CUMV_14559_Ct_pant,CUMV_14567_Ct_pant,CUMV_14570_Ct_pant,CUMV_1457314504_Ct_pant,NA_CCM1889_Ct_pant,NA_CCM2756_Ct_pant,QM_62378_Ct_pant,SAMR_42153_Ct_pant,SAMR_44378_Ct_pant,SAMR_44860_Ct_pant,SAMR_45310_Ct_pant,SAMR_45528_Ct_pant,UMMZ_242633_Ct_pant,UMMZ_242634_Ct_pant,UMMZ_242638_Ct_pant,UMMZ_242639_Ct_pant,WAMR_108704_Ct_pant,WAMR_119962_Ct_pant,WAMR_129885_Ct_pant,WAMR_131057_Ct_pant,WAMR_139092_Ct_pant,WAMR_140704_Ct_pant
CUMV_1450314572_Ct_pant,NA,537.781554164886,537.781554164886,537.781554164886,537.781554164886,537.781554164886,0,0,0,0,266.229224541559,1443.10706463519,87.9204185613331,30.6920185064456,201.995049444287,167.898779030701,1726.02056766424,2198.38190494736,3101.33664731838,3101.33664731838,1887.02358225858,1887.02358225858,2015.36448316427,1075.65654369785,85.7962703152066,425.569030828137,2505.39158615974,738.995263854918
CUMV_14516_Ct_pant,537.781554164886,NA,0,0,0,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,311.253915638021,913.110617614317,451.646986041089,524.212743072886,397.988693306732,376.994694922886,1191.0491173751,1661.36510135491,2572.46068968993,2572.46068968993,1360.26798830231,1360.26798830231,1484.93063811075,543.663498866716,453.949336380174,188.058501536091,1971.53037004252,223.819123401018
CUMV_14517_Ct_pant,537.781554164886,0,NA,0,0,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,311.253915638021,913.110617614317,451.646986041089,524.212743072886,397.988693306732,376.994694922886,1191.0491173751,1661.36510135491,2572.46068968993,2572.46068968993,1360.26798830231,1360.26798830231,1484.93063811075,543.663498866716,453.949336380174,188.058501536091,1971.53037004252,223.819123401018
CUMV_14525_Ct_pant,537.781554164886,0,0,NA,0,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,311.253915638021,913.110617614317,451.646986041089,524.212743072886,397.988693306732,376.994694922886,1191.0491173751,1661.36510135491,2572.46068968993,2572.46068968993,1360.26798830231,1360.26798830231,1484.93063811075,543.663498866716,453.949336380174,188.058501536091,1971.53037004252,223.819123401018
CUMV_14526_Ct_pant,537.781554164886,0,0,0,NA,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,311.253915638021,913.110617614317,451.646986041089,524.212743072886,397.988693306732,376.994694922886,1191.0491173751,1661.36510135491,2572.46068968993,2572.46068968993,1360.26798830231,1360.26798830231,1484.93063811075,543.663498866716,453.949336380174,188.058501536091,1971.53037004252,223.819123401018
CUMV_14527_Ct_pant,537.781554164886,0,0,0,0,NA,537.781554164886,537.781554164886,537.781554164886,537.781554164886,311.253915638021,913.110617614317,451.646986041089,524.212743072886,397.988693306732,376.994694922886,1191.0491173751,1661.36510135491,2572.46068968993,2572.46068968993,1360.26798830231,1360.26798830231,1484.93063811075,543.663498866716,453.949336380174,188.058501536091,1971.53037004252,223.819123401018
CUMV_14559_Ct_pant,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,537.781554164886,NA,0,0,0,266.229224541559,1443.10706463519,87.9204185613331,30.6920185064456,201.995049444287,167.898779030701,1726.02056766424,2198.38190494736,3101.33664731838,3101.33664731838,1887.02358225858,1887.02358225858,2015.36448316427,1075.65654369785,85.7962703152066,425.569030828137,2505.39158615974,738.995263854918
CUMV_14567_Ct_pant,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,537.781554164886,0,NA,0,0,266.229224541559,1443.10706463519,87.9204185613331,30.6920185064456,201.995049444287,167.898779030701,1726.02056766424,2198.38190494736,3101.33664731838,3101.33664731838,1887.02358225858,1887.02358225858,2015.36448316427,1075.65654369785,85.7962703152066,425.569030828137,2505.39158615974,738.995263854918
CUMV_14570_Ct_pant,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,537.781554164886,0,0,NA,0,266.229224541559,1443.10706463519,87.9204185613331,30.6920185064456,201.995049444287,167.898779030701,1726.02056766424,2198.38190494736,3101.33664731838,3101.33664731838,1887.02358225858,1887.02358225858,2015.36448316427,1075.65654369785,85.7962703152066,425.569030828137,2505.39158615974,738.995263854918
CUMV_1457314504_Ct_pant,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,537.781554164886,0,0,0,NA,266.229224541559,1443.10706463519,87.9204185613331,30.6920185064456,201.995049444287,167.898779030701,1726.02056766424,2198.38190494736,3101.33664731838,3101.33664731838,1887.02358225858,1887.02358225858,2015.36448316427,1075.65654369785,85.7962703152066,425.569030828137,2505.39158615974,738.995263854918
