,NA_CCM2292_Ct_inor,NA_CCM2518_Ct_vert,NA_CCM2565_Ct_vert,NA_CCM3869_Ct_inor,SAMAR_34180_Ct_bore,SAMR_38776_Ct_saxa,SAMR_53975_Ct_saxa
NA_CCM2292_Ct_inor,NA,553,762.977063875448,708.94992770999,889.783119642084,2358.81177714543,3095.08335913591
NA_CCM2518_Ct_vert,553,NA,210.259363644048,344.747733857672,1420.15597734897,2855.86449258364,3577.79596958798
NA_CCM2565_Ct_vert,762.977063875448,210.259363644048,NA,371.362356735305,1624.17178894352,3047.21167627062,3763.29921744206
NA_CCM3869_Ct_inor,708.94992770999,344.747733857672,371.362356735305,NA,1595.33444769428,3067.7172294721,3803.09755331098
SAMAR_34180_Ct_bore,889.783119642084,1420.15597734897,1624.17178894352,1595.33444769428,NA,1482.54544618369,2226.99057025395
SAMR_38776_Ct_saxa,2358.81177714543,2855.86449258364,3047.21167627062,3067.7172294721,1482.54544618369,NA,748.391608718323
SAMR_53975_Ct_saxa,3095.08335913591,3577.79596958798,3763.29921744206,3803.09755331098,2226.99057025395,748.391608718323,NA
