,NA_ABTC113879_Ct_stra,SAMAR_36883_Ct_stra,SAMAR_42743_Ct_stra,SAMAR_42874_Ct_stra,SAMAR_45516_Ct_stra,SAMR_42881_Ct_stra,SAMR_55734_Ct_stra
NA_ABTC113879_Ct_stra,NA,769.437456847534,902.977851334129,24.2693221990232,436.322128707679,22.5831795812724,1036.74635277873
SAMAR_36883_Ct_stra,769.437456847534,NA,1669.05452277629,777.214899496915,346.18636599381,773.256749081442,1800.15638209573
SAMAR_42743_Ct_stra,902.977851334129,1669.05452277629,NA,892.979283074361,1328.73247871797,896.959865322858,140.890028036054
SAMAR_42874_Ct_stra,24.2693221990232,777.214899496915,892.979283074361,NA,441.902704223452,4.12310562561766,1025.90350423419
SAMAR_45516_Ct_stra,436.322128707679,346.18636599381,1328.73247871797,441.902704223452,NA,437.948627124232,1460.09794192034
SAMR_42881_Ct_stra,22.5831795812724,773.256749081442,896.959865322858,4.12310562561766,437.948627124232,NA,1029.9082483406
SAMR_55734_Ct_stra,1036.74635277873,1800.15638209573,140.890028036054,1025.90350423419,1460.09794192034,1029.9082483406,NA
